CPS outcomes by principal offence category west_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,1,0.0%
B Offences Against The Person,465,67.8%,180,32.2%
C Sexual Offences,28,61.8%,12,38.2%
D Burglary,140,85.4%,44,14.6%
E Robbery,44,84.2%,10,15.8%
F Theft And Handling,525,87.5%,69,12.5%
G Fraud And Forgery,31,87.5%,11,12.5%
H Criminal Damage,122,82.1%,39,17.9%
I Drugs Offences,264,87.3%,28,12.7%
J Public Order Offences,96,67.1%,69,32.9%
K All Other Offences (excluding Motoring),200,66.0%,89,34.0%
L Motoring Offences,777,88.4%,129,11.6%
Admin Finalisations,0,0.0%,39,100.0%
TOTAL,"2,693",78.9%,720,21.1%
