Table 8. Total DFID Expenditure and GPEX by Region and Country Groupings 2008/09 - 2012/131,,,,,,,,,,,,,,
,,,   ,   ,   ,,,,,,   ,,, £ thousand 
,, Financial Aid ,,,,,,,,,,   ,,
,,General Poverty Reduction Budget Support,Sector Poverty Reduction Budget Support,Other Financial Aid 5,Technical                  Co-operation,Bilateral aid delivered through a Multilateral,Bilateral aid Delivered through an NGO,Other Bilateral Aid2,Humanitarian Assistance,DFID Debt Relief,Total DFID Bilateral Programme,Aid from other UK Official Sources5,Total Bilateral Gross Public Expenditure,UK Imputed Multilateral Shares3
,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,
TOTAL ALL COUNTRIES,2008/09, 392 748, 255 920, 516 431, 514 235, 656 448, 462 597, 17 030, 449 163, 19 425,3 283 996, 1 049 954 ,4 333 951,2 172 608
,2009/10, 383 150, 250 951, 518 817, 419 911,1 264 716, 599 434, 34 668, 434 556, 52 061,3 958 263,  807 472 ,4 765 735,2 692 063
,2010/11, 360 467, 283 204, 550 728, 467 939,1 465 789, 626 752, 76 009, 350 669, 66 460,4 248 018, 1 063 841 ,5 311 859,3 357 469
,2011/12, 242 290, 294 372, 544 778, 527 907,1 404 592, 739 558, 81 372, 354 293, 14 954,4 204 115,  974 497 ,5 178 612,3 457 956
,2012/13, 167 343, 242 790, 685 571, 638 258,1 074 957, 747 302, 119 120, 476 878, 17 169,4 169 389, 1 061 958 ,5 231 347,
,,,,,,,,,,,,,,
Africa,2008/09, 342 748, 161 252, 133 667, 215 501, 244 594, 175 711, 7 928, 240 530, 10 922,1 532 852, 228 491,1 761 343, 955 897
,2009/10, 333 150, 158 163, 151 865, 199 273, 332 740, 149 203, 20 688, 293 593, 8 807,1 647 482,  266 751 ,1 914 233,1 158 720
,2010/11, 310 467, 185 454, 211 960, 248 588, 437 496, 158 238, 47 869, 211 732, 55 358,1 867 162,  246 889 ,2 114 051,1 258 164
,2011/12, 222 290, 242 372, 222 158, 298 059, 386 727, 213 000, 45 046, 260 329, 1 713,1 891 694,  287 369 ,2 179 063,1 246 104
,2012/13, 167 343, 213 090, 297 050, 368 762, 316 222, 207 660, 76 600, 317 865, 1 124,1 965 716,  227 767 ,2 193 483,
,,,,,,,,,,,  ,,,
