August 2017 - Over £25k Spend,,,,,,
,,,,,,
Department Family,Entity,Payment Date,Expense Type,Supplier,Transaction Number,Sum of Amount
Department of Health,Black Country Partnership NHS Foundation Trust,09/08/2017,Other Non Clinical - Admin & C,DUDLEY & WALSALL NHS MENTAL,0010003580," 41,266.37 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0010003537," 32,817.30 "
Department of Health,Black Country Partnership NHS Foundation Trust,09/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0010003567," 114,767.69 "
Department of Health,Black Country Partnership NHS Foundation Trust,09/08/2017,Other Receivables,COMMUNITY HEALTH PARTNERSHIPS,0010003567," 22,953.54 "
Department of Health,Black Country Partnership NHS Foundation Trust,16/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0010003568," 114,767.69 "
Department of Health,Black Country Partnership NHS Foundation Trust,16/08/2017,Other Receivables,COMMUNITY HEALTH PARTNERSHIPS,0010003568," 22,953.54 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0010003600," 27,347.75 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Other Receivables,COMMUNITY HEALTH PARTNERSHIPS,0010003600," 5,469.55 "
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0020000259," 76,456.83 "
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Other Receivables,COMMUNITY HEALTH PARTNERSHIPS,0020000259," 15,291.37 "
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,Non Clinical Supplies,COMMUNITY HEALTH PARTNERSHIPS,0020000260," 41,580.50 "
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,Other Receivables,COMMUNITY HEALTH PARTNERSHIPS,0020000260," 8,316.10 "
Department of Health,Black Country Partnership NHS Foundation Trust,09/08/2017,Junior Medical,ST HELENS AND KNOWSLEY TEACHING,0010003584," 30,000.00 "
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Non Clinical Supplies,BLACK COUNTRY PPP HEALTH SERVICE,0030125075," 21,942.22 "
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Other Receivables,BLACK COUNTRY PPP HEALTH SERVICE,0030125075," 4,388.44 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Capital Payables,BLACK COUNTRY PPP HEALTH SERVICE,0030126222," 28,870.63 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Interest Payable,BLACK COUNTRY PPP HEALTH SERVICE,0030126222,38100.62
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Non Clinical Supplies,BLACK COUNTRY PPP HEALTH SERVICE,0030126222,24957.05
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Other Receivables,BLACK COUNTRY PPP HEALTH SERVICE,0030126222,18385.66
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Capital Payables,BLACK COUNTRY PPP HEALTH SERVICE,0030128338,34644.76
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Interest Payable,BLACK COUNTRY PPP HEALTH SERVICE,0030128338,45720.74
Department of Health,Black Country Partnership NHS Foundation Trust,30/08/2017,Non Clinical Supplies,BLACK COUNTRY PPP HEALTH SERVICE,0030128338,29948.46
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Non Clinical Supplies,VIRGIN MEDIA BUSINESS,0030127112,28766.21
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,Non Clinical Supplies,CBRE (NORLAND MANAGED SERVICES LIMTED),0030128306,44559.53
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,Other Receivables,CBRE (NORLAND MANAGED SERVICES LIMTED),0030128306,8911.91
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,"Property, Plant & equipment, N",MIDWEST ELECTRICAL SERVICES,0030129199,33000
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Clinical Supplies,BOOTS UK LIMITED,0030126693,26498.95
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,Other Receivables,EH HUMPHRIES NORTON LTD,0030126649,7387.11
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,"Property, Plant & equipment, N",EH HUMPHRIES NORTON LTD,0030126649," 36,935.53 "
Department of Health,Black Country Partnership NHS Foundation Trust,23/08/2017,"Property, Plant & equipment, N",ESTEEM SYSTEMS,0030128314," 50,667.84 "
Department of Health,Black Country Partnership NHS Foundation Trust,02/08/2017,"Property, Plant & equipment, N",L DARBY AND SON LTD,0030127604,37907.14
,,,,,," 1,075,581.03 "
