Department,Entitly, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID ,DFID,31/03/2015,Other Admin Costs ,Group Operations ,Banner Business Services,100007-101 ,£582.73,
DFID ,DFID,31/03/2015,Hardware -monitors ,Group Operations ,Misco,100007-103 ,"£1,151.28",
DFID ,DFID,31/03/2015,Hardware -monitors ,Group Operations ,Misco,100007-103 ,"£1,500.36",
DFID ,DFID,31/03/2015,Subscriptions ,Finance and Corporate Performance Division ,OANDA,100008-101 ,"£3,019.85",
DFID ,DFID,23/03/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£563.69,
DFID ,DFID,23/03/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£783.39,
DFID ,DFID,23/03/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,100016-107 ,£876.60,
DFID ,DFID,23/03/2015,Oil - Other Utilities ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100025-101 ,"£1,205.86",
DFID ,DFID,04/03/2015,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100033-101 ,"£1,251.48",
DFID ,DFID,04/03/2015,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100033-101 ,"£1,251.48",
DFID ,DFID,09/03/2015,Printer Consumables ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100033-101 ,"£1,556.22",
DFID ,DFID,23/03/2015,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100039-108 ,£898.52,
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100045-101 ,£623.11,
DFID ,DFID,20/03/2015,Hardware - printers ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£4,063.00",
DFID ,DFID,20/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,609.68",
DFID ,DFID,20/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£970.20,
DFID ,DFID,20/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,609.68",
DFID ,DFID,20/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,609.68",
DFID ,DFID,20/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,188.30",
DFID ,DFID,20/03/2015,Hardware - printers ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£6,042.66",
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£540.00,
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£600.00,
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,400.00",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£4,727.20",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£575.46,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,173.44",
