Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",159,151.06,301,286.61,925,887.71,534,512.63,90,87.09,0,0,2009,1925.1,9,9,10,10,52,52,0,0,71,71,2080,1996.1,"£7,432,605",£900,"£20,832","£14,909","£1,457,176","£636,698","£9,563,120","£778,597",£0,"£778,597","£10,341,717",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",835,762.88,543,510.3,754,708.48,180,175.96,8,8,,,2320,2165.62,42,42,,,16,16,,,58,58,2378,2223.62,"£5,378,194","£93,551",,"£88,154","£1,125,890","£416,340","£7,102,130","£299,731",£0,"£299,731","£7,401,861",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",87,82.69,119,110.67,246,233.83,91,85.98,3,3,0,0,546,516.17,0,0,0,0,0,0,0,0,0,0,546,516.17,"£1,314,859","£38,664",£0,"£30,808","£276,673","£104,798","£1,765,802",£0,£0,£0,"£1,765,802",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",715,624.87,638,588.24,583,555.04,167,165.31,15,15,0,0,2118,1948.46,136,136,91,91,0,0,0,0,227,227,2345,2175.46,"£4,611,138","£69,869","£18,800","£70,385","£942,814","£343,138","£6,056,144","£327,936","£568,778","£896,715","£6,952,858",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",35,33.34,28,27.63,42,41.06,44,43.55,3,3,0,0,152,148.58,7,5.5,0,0,3,2.5,0,0,10,8,162,156.58,"£513,305","£9,633",£0,£738,"£46,599","£109,979","£680,254","£44,337",£0,"£44,337","£724,591",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,402,389.04,402,389.04,8,8,0,0,9,9,0,0,17,17,419,406.04,"£1,158,477","£50,266",£0,£915,"£98,866","£127,370","£1,435,893","£29,912",£0,"£29,912","£1,465,805",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",13,12.42,28,26.68,16,15.31,9,9,4,4,0,0,70,67.41,1,1,2,2,0,0,0,0,3,3,73,70.41,"£173,775","£2,903",£0,£198,"£33,163","£14,228","£224,267","£25,303",£0,"£25,303","£249,570",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1664,1539.98,2543,2380.16,3099,2912.51,1895,1815.84,123,120.67,962,949.46,10286,9718.62,214,206.84,72,68.82,92,91.61,181,167.78,559,535.05,10845,10253.67,"£25,080,619","£498,900",£0,"£878,080","£3,556,766","£2,051,971","£32,066,336","£954,385","£2,773,000","£3,727,385","£35,793,721",
