Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1636632,"130,312.43",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1672440,"27,153.85",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1712171,"36,992.56",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1722631,"56,571.62",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,Employment/ Recruitment Costs Costs,Human Resources,ASSOCIATES IN ADVERTISING,1730975,"36,169.95",Employment/Recruitment
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1756157,"545,165.10",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,Course Fees,Human Resources,SPECIALIST COMPUTER CENTRES PLC,1757307,"37,080.00",Training and Development
Department of Health,Care Quality Commission,30/09/2012,Communications,Regulatory Development,CHOICE SUPPORT,1757344,"39,024.71",Communications
Department of Health,Care Quality Commission,30/09/2012,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,1763023,"278,739.40",Travel
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1793750,"170,037.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1793910,"44,795.59",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1793941,"25,740.00",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1793972,"33,462.00",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,Redfern Travel Control Account,Commission Wide,REDFERN TRAVEL LTD,1799371,"258,852.70",Travel
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1803594,"86,713.20",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1803664,"25,492.80",IT Telecommunications
Department of Health,Care Quality Commission,30/09/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1803670,"82,518.76",IT Telecommunications
Department of Health,Care Quality Commission,30/09/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1809973,"35,675.22",IT Telecommunications
Department of Health,Care Quality Commission,30/09/2012,Surveys,Intelligence,PICKER INSTITUTE EUROPE,1832051,"61,142.92",Surveys
Department of Health,Care Quality Commission,30/09/2012,Consultancy,Strategic Marketing & Comms,MOORHOUSE CONSULTING LTD,1832074,"54,000.00",Consultancy
Department of Health,Care Quality Commission,30/09/2012,Communications,Regulatory Development,AGE UK,1832910,"60,060.00",Communications
Department of Health,Care Quality Commission,30/09/2012,Communications,Regulatory Development,AGE UK,1832914,"92,400.00",Communications
Department of Health,Care Quality Commission,30/09/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1841659,"70,517.29",Agency Staff
Department of Health,Care Quality Commission,30/09/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1841662,"60,210.04",Agency Staff
Department of Health,Care Quality Commission,30/09/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1841671,"64,073.41",Agency Staff
Department of Health,Care Quality Commission,30/09/2012,Research Services,Human Resources,CRIMINAL RECORDS BUREAU,1857846,"42,900.00",CRB Checks
Department of Health,Care Quality Commission,30/09/2012,Rents,Finance and CSD,ROCKDELL PROPERTY MANAGEMENT,1861323,"415,968.33",Rent
