Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCRIPTION
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177166""",3932.97,BOOTLE PFI CHARGES - MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177166""",60519.87,CAPITAL EXPENDITURE BOOTLE APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177166""",325130.33,BOOTLE UINITARY PAYMENT APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177166""",407809.77,PFI FINANCE CHARGE - BOOTLE - APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,GLASGOW CITY COUNCIL,"=""0010177171""",70990.00,GLASGOW RATES 2012-13
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,CITY OF EDINBURGH COUNCIL,"=""0010177172""",178849.00,EDINBURGH RATES 2012-13
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,ABERDEEN CITY COUNCIL,"=""0010177173""",123660.00,ABERDEEN RATES 2012-13
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,ABERDEEN CITY COUNCIL,"=""0010177174""",47861.00,ABERDEEN RATES 2012-13
DWP,HEALTH AND SAFETY EXECUTIVE,03/05/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010177199""",61247.68,CARLSON30042012
DWP,HEALTH AND SAFETY EXECUTIVE,08/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,MAJESTIC (BELFORD) LTD,"=""0010177224""",105000.00,EDINBURGH - RENT - MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,08/05/2012,LAW TRIBUNAL & LEGAL COSTS,HAZARDOUS INSTALLATIONS DIRECTORATE,MORTON FRASER SOLICITORS,"=""0010177249""",34344.11,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,08/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,CHELTENHAM BOROUGH COUNCIL,"=""0010177281""",35609.50,CHELTENHAM RATES 2012-13
DWP,HEALTH AND SAFETY EXECUTIVE,10/05/2012,LICENSING CHARGES,FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,"=""0010177345""",29928.63,AALA APRIL 12 INVOICE
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010177365""",6118.35,OXTED S/C/ QTR 1 1/4/12-30/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,TANDRIDGE DISTRICT COUNCIL,"=""0010177365""",18758.48,OXTED RENT QTR1 1/4/12-30/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,CONSULTANTS EXPENSES,OFFICE FOR NUCLEAR REGULATION,ERNST & YOUNG LLP,"=""0010177372""",5208.00,ONR TRANSFORMATION 02/04/12-27/04/12
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,CONSULTANTS FEES,OFFICE FOR NUCLEAR REGULATION,ERNST & YOUNG LLP,"=""0010177372""",70012.00,ONR TRANSFORMATION 02/04/12-27/04/12
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010177375""",49384.12,CARLSON080512
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"=""0010177421""",13671.28,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"=""0010177421""",16106.04,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,ENVIRONMENT AGENCY FEES,OFFICE FOR NUCLEAR REGULATION,ENVIRONMENT AGENCY,"=""0010177445""",35973.78,FEES FOR  ADVICE QTR 1 
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010177452""",51974.61,CARLSON140512
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,HIGHWAY AGENCY,"=""0010177458""",10269.00,BEDFORD OFFICE RATES 1/4- 30/6
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,HIGHWAY AGENCY,"=""0010177458""",14385.00,BEDFORD OFFICE SERVICE CHARGE 1/4- 30/6
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,HIGHWAY AGENCY,"=""0010177458""",36346.59,BEDFORD OFFICE RENT 1/4 - 30/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,EDF ENERGY,"=""0010177461""",37046.94,ELECTRICITY 1/4 - 30/4/12 BOOTLE
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010177471""",9703.00,GLASGOW S/C 15/5/12 - 31/7/12
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,GVA GRIMLEY LTD,"=""0010177471""",52797.16,GLASGOW RENT 15/5/12 - 31/7/12
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"=""0010177475""",1956.12,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"=""0010177475""",3750.00,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,BOND PEARCE,"=""0010177475""",21009.60,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,HOTEL ACCOMMODATION,CENTRAL EXPENDITURE,EXPOTEL HOTEL RESERVATIONS LTD,"=""0010177506""",142425.39,EXPOTEL 150512
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177523""",25.98,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177523""",7665.84,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177523""",66143.55,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010177543""",1007.18,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010177543""",35004.00,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,FIELDINGS PORTER,"=""0010177543""",90195.00,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,WILDLIFE INVESTIGATION SCHEME,CHEMICAL REGULATIONS DIRECTORATE,NATURAL ENGLAND,"=""0010177551""",56852.56,WILDLIFE INVESTIGATION - 1.1.2012 TO 31.1.2012
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,PESTICIDE RESIDUE TESTING,CHEMICAL REGULATIONS DIRECTORATE,LGC (TEDDINGTON) LTD,"=""0010177553""",52215.17,PESTICIDE RESIDUE TESTING - APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177569""",30530.27,13/03/02 LOGICA MINOR CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,DATACOMMUNICATIONS,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177570""",985745.70,13/05/01 TELECOMS FEES JULY-SEPT 2012
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177571""",10000.00,CAPITAL POOLED SOFTWAREWARE VAR HSE OFFICES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177571""",50000.00,CAPITAL POOLED HARDWARE VAR HSE OFFICES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177571""",867571.50,12/01/002 PS1 LOGICA SERVICE CHARGE 4/12
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177572""",5799.04,RFP 794 BIRMINGHAM RELOCATION
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177572""",11327.30,RFP 763 EAST GRINSTEAD RELOCATION
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,IT,BUSINESS SERVICES DIRECTORATE,LOGICA CMG,"=""0010177572""",163418.22,12/02/002 PS2 LOGICA PROJECT CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010177576""",161132.19,FACILTIES MANAGEMENT - VARIOUS GOVT BUILDINGS MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,FACILITIES MANAGEMENT,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010177577""",85149.88,FACILTIES MANAGEMENT - NON CORE VARIOUS GOVT BUILDINGS APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,SCIENTIFIC EQUIPMENT,FIELD OPERATIONS DIRECTORATE,PENNINE INSTRUMENT SERVICES,"=""0010177580""",48002.51,PENNINE MANAGEMENT FEE
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010177582""",63668.20,CARLSON210512
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,HRJ LAW,"=""0010177599""",21139.20,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,HRJ LAW,"=""0010177599""",50634.84,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,LEVY ADVISORY/DRAFTING LAWYERS,SOLICITORS,THE TREASURY SOLICITOR,"=""0010177604""",115149.30,APRIL 2012 LEVY TSOL
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,GPC  PURCHASES,CENTRAL EXPENDITURE,BARCLAYS BANK PLC,"=""0010177611""",82743.45,GPC: MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,SECURITY VETTING,OFFICE FOR NUCLEAR REGULATION,MINISTRY OF DEFENCE,"=""0010177613""",42898.72,DV VETTING CLEARANCES - FEBRUARY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,GVA,"=""0010177661""",7809.60,ASHFORD SERVICE CHARGE 24/6/12-28/9/12
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,GVA,"=""0010177661""",20475.00,ASHFORD RENT 24/6/12-28/9/12
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,DEPARTMENT FOR EDUCATION,"=""0010177662""",14933.61,LONDON SANCTUARY BLDNGS RATES 141230612
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,DEPARTMENT FOR EDUCATION,"=""0010177662""",20221.73,LONDON SANCTUARY BLDNGS S/C 1/4/12-30/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,DEPARTMENT FOR EDUCATION,"=""0010177662""",45110.91,LONDON SANCTUARY BLDNGS RENT 1/4/12-30/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,LAW TRIBUNAL & LEGAL COSTS,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177664""",545.58,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,SOLICITOR'S AGENT COSTS,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177664""",1635.60,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,COUNSEL FEES,FIELD OPERATIONS DIRECTORATE,T/A FRISBY & CO,"=""0010177664""",35163.85,COST OF PROSECUTION - LEGAL FEES
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177676""",3363.58,PFI FINANCE CHARGE - BOOTLE - MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177676""",60519.87,CAPITAL EXPENDITURE BOOTLE MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177676""",325130.33,BOOTLE UINITARY PAYMENT MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010177676""",407809.77,PFI FINANCE CHARGE - BOOTLE - MAY 2012
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010177686""",51351.53,CARLSON280512
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,ELECTRICITY,BUSINESS SERVICES DIRECTORATE,CABINET OFFICE,"=""0010177726""",3612.03,NORWICH UTILITIES 01/04/12-30/06/12
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,RATES,BUSINESS SERVICES DIRECTORATE,CABINET OFFICE,"=""0010177726""",8078.82,NORWICH RATES 01/04/12-30/06/12
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,CABINET OFFICE,"=""0010177726""",12252.78,NORWICH FACLITIES MANAGMENT CHARGE 01/04/12-30/06/12
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,RENTS,BUSINESS SERVICES DIRECTORATE,CABINET OFFICE,"=""0010177726""",20096.34,NORWICH RENT 01/04/12-30/06/12
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,PESTICIDES SURVEY,CHEMICAL REGULATIONS DIRECTORATE,THE FOOD & ENVIRONMENT RESEARCH AGENCY,"=""0010177734""",62499.25,PESTICIDE SURVEY (FIELDWORK)
