Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,SLA Manchester PCT - Estates,Integrated & Community Service,NHS PROPERTY SERVICES LTD,0001540519,"33,400.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,SLA Manchester PCT - Estates,Integrated & Community Service,NHS PROPERTY SERVICES LTD,0001550485,"-25,253.16"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,"1,189.66"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,784.51
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,"1,302.91"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,"13,899.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,"13,899.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,M & S Equipment,Capital,STRYKER UK LTD,0001563033,"1,572.48"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN (MAINTENANCE 201),0001569915,"41,128.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Medicine,NHS SUPPLY CHAIN (MAINTENANCE 201),0001569918,"47,359.27"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Medicine,NHS SUPPLY CHAIN (MAINTENANCE 201),0001569918,"47,359.27"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001569920,"27,318.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001570151,"49,162.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001570151,"5,225.01"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001570201,"73,967.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001570205,"46,063.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN (MAINTENANCE 201),0001570229,"157,350.32"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,Professional Fees,Capital,KAINOS SOFTWARE LTD,0001571195,"29,581.84"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,Miscellaneous Expenditure,Integrated & Community Service,8500 VIRGIN CARE SERVICES LTD,0001572001,"14,857.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,Miscellaneous Expenditure,Integrated & Community Service,8500 VIRGIN CARE SERVICES LTD,0001572001,"10,581.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,Computer Hardware & Software,Capital,ISOSEC LTD,0001572351,"1,593.60"
Department of Health,The Pennine Acute Hospitals NHS Trust,07/04/2016,Computer Hardware & Software,Capital,ISOSEC LTD,0001572351,"24,000.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001572465,"63,152.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,18/04/2016,Patient Amenities,Endowment I&E,NHS SUPPLY CHAIN (STOCK 101),0001572466,"492,783.33"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001574345,"9,331.85"
Department of Health,The Pennine Acute Hospitals NHS Trust,05/04/2016,M & S Equipment Maint Contract,Estates and Facilities,NHS SUPPLY CHAIN (MAINTENANCE 201),0001574345,"9,331.85"
