"HM Treasury Transparency - Publication of spend over £25,000  Amount: '25000', Start: '01-OCT-2012', End: '31-OCT-2012'  ",,,,,,
,,,,,,
Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
TW Revenue Funds,01/10/12,GP Practice Payments,Dispensing Drugs,Wellington Road Surgery,,"66,580.67"
TW Revenue Funds,04/10/12,GMS 2 Prem Improvement Grants,GMS Donnington,DONNINGTON MEDICAL PRACTICE,PREMISES IMPROVEMENT GRANT,"193,979.00"
TW Revenue Funds,04/10/12,APMS Essential Services,APMS Town Centre Malling,MALLING HEALTH LLP,OCT12 TOWN CENTRE HEALTH CENTRE,"86,129.76"
TW Revenue Funds,04/10/12,APMS Essential Services,APMS PRH Malling,MALLING HEALTH LLP,OCT12 PRH,"75,256.20"
TW Revenue Funds,04/10/12,Revenue Grants,Social Care Allocation (S256),TELFORD & WREKIN COUNCIL,4055727,"976,000.00"
TW Revenue Funds,08/10/12,General And Acute,Bl Cont Reg Spec - Gen  and  Acute,BIRMINGHAM EAST AND NORTH PCT,OCT12,"1,895,790.00"
TW Revenue Funds,08/10/12,Community Health Services,Bl Cont Gen - Primary Care,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002987,"1,813,947.00"
TW Revenue Funds,08/10/12,Gross Payments - Dental Practitioners,PDS Pilots DPB,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002798,"30,356.00"
TW Revenue Funds,08/10/12,Drugs,HIV/Aids Drug Treatmt,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10070057,"46,497.01"
TW Revenue Funds,11/10/12,General And Acute,Bl Cont Gen - BPAS,BRITISH PREGNANCY ADVISORY SERVICE,19824,"53,690.00"
TW Revenue Funds,11/10/12,Commissioning Other Contractual,FNC/CHC OCT12,COTTAGE CHRISTIAN NURSING HOME,FNC/CHC OCT12,"27,897.82"
TW Revenue Funds,11/10/12,Mental Illness,FNC/CHC/INT OCT12,LIGHTMOOR VIEW,FNC/CHC/INT OCT12,"64,350.23"
TW Revenue Funds,11/10/12,Commissioning Other Contractual,FNC/CHC OCT12,MORRIS CARE CENTRE,FNC/CHC OCT12,"67,348.88"
TW Revenue Funds,11/10/12,Community Health Services,Free Nursing Care,MYFORD HOUSE,FNC/CHC OCT12,"25,174.22"
TW Revenue Funds,11/10/12,Commissioning Other Contractual,FNC/CHC/INT OCT12,RYLANDS CARE,FNC/CHC/INT OCT12,"36,344.19"
TW Revenue Funds,11/10/12,Out of Hours Medical Provision,Discretionary OOH Developments,SHROPSHIRE DOCTORS CO-OP LTD,1594,"142,719.83"
TW Revenue Funds,11/10/12,Community Health Services,FNC/CHC OCT12,ST GEORGES PARK,FNC/CHC OCT12,"25,370.30"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,OCT12,"74,436.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,MID STAFFORDSHIRE NHS FOUNDATION TRUST,OCT12,"49,760.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,ROBERT JONES AND AGNES HUNT NHS FT,OCT12,"403,501.00"
TW Revenue Funds,15/10/12,Community Health Services,Help 2 Quit Smoking,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002741,"42,231.00"
TW Revenue Funds,15/10/12,Mental Illness,Bl Cont Gen - Ment Illness,South Staffordshire And Shropshire Healthcare Nhs Foundation Trust,OCT12,"1,247,137.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,THE ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST,OCT12,"131,451.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,OCT12,"7,402,408.00"
