Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",130,124.21,284,273.41,806,776.44,511,487.34,80,76.37,9,9,"1,820","1,747",30,30,9,9,64,64,1,1,104,104,"1,924","1,851","£7,524,364","£11,312","-£6,310","£22,618","£821,585","£426,057","£8,799,626","£904,052","£5,465","£909,517","£9,709,143",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",826,757.18,519,483.1,729,689.83,158,154.64,7,7,0,0,"2,239","2,092",19,19,0,0,20,20,0,0,39,39,"2,278","2,131","£5,138,073","£74,174","£1,396","£107,848","£1,088,919","£526,604","£6,937,015","£121,053",£0,"£121,053","£7,058,068",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",84,79.47,120,108.14,248,234.24,96,91.05,3,3,0,0,551,516,0,0,0,0,0,0,0,0,0,0,551,516,"£1,335,056","£20,475",£0,"£33,781","£280,145","£136,809","£1,806,267",£0,£0,£0,"£1,806,267",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",668,582.33,586,532.57,551,526.86,145,143.5,14,14,0,0,"1,964","1,799",109,109,77,76,0,0,0,0,186,185,"2,150","1,984","£4,194,992","£18,169","£24,000","£105,147","£856,168","£420,475","£5,618,952","£157,435","£893,605","£1,051,040","£6,669,992",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",34,31.6,26,25.44,46,44.6,42,40.88,3,3,0,0,151,146,9,7,0,0,2,1.2,0,0,11,8.2,162,154,"£449,929","£9,086",£0,"£2,610","£98,416","£49,167","£609,208","£39,351",£0,"£39,351","£648,559",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,428,412.8,428,413,6,6,0,0,4,4,0,0,10,10,438,423,"£1,273,953","£48,594",£0,£0,"£113,854","£142,677","£1,579,077","£7,506",£0,"£7,506","£1,586,584",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",12,11.81,22,21.81,21,19.51,11,10.92,5,4.6,0,0,71,69,2,2,0,0,0,0,0,0,2,2,73,71,"£183,094","£2,121",£0,£0,"£36,982","£18,971","£241,168","£6,705",£0,"£6,705","£247,873",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1694,1576.33,2570,2401.51,3218,3017.09,2009,1913.7,114,113.17,891,879.37,"10,496","9,901",204,199.05,70,67.59,216,212.6,472,437.98,962,917.22,"11,458","10,818","£26,391,193","£284,415",£295,"£1,061,888","£3,755,452","£2,851,241","£34,344,483","£1,453,028","£806,073","£2,259,102","£36,603,584",
