Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,118,109.08,372,357.15,858,830.74,824,794.68,217,210.67,0,0,"2,389","2,302",246,244.54,..,..,106,102.21,32,28.97,384,375.72,"2,773","2,678","£8,552,756","£64,399","£35,038","£34,546","£1,783,210","£803,747","£11,273,697","£2,452,004","£159,272","£2,611,276","£13,884,973",
Alcohol Education & Research Council,Executive Non-Departmental Public Body,Department of Health,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,
Appointments Commission,Executive Non-Departmental Public Body,Department of Health,2,2,17,16.3,11,9.8,4,4,3,2.8,0,0,37,35,0,0,0,0,0,0,0,0,0,0,37,35,"£107,665",£0,£0,£0,"£12,858","£9,674","£130,197",£0,£0,£0,"£130,197",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,277,265.4,62,61.14,965,929.58,133,133,40,40,387,370.65,"1,864","1,800",101,101,12,12,12,12,2,2,127,127,"1,991","1,927","£5,457,274","£147,645",£0,"£60,708","£740,753","£520,090","£6,926,470","£772,056",£0,"£772,056","£7,698,526",
Council for Healthcare Regulatory Excellence,Executive Non-Departmental Public Body,Department of Health,2,2,5,5,8,7.6,3,3,1,1,0,0,19,19,0,0,0,0,4,1.2,0,0,4,1.2,23,20,"£80,350",£0,£0,£0,"£10,672","£7,732","£98,755","£23,328","£8,315","£31,643","£130,397",
General Social Care Council,Executive Non-Departmental Public Body,Department of Health,107,99.8,55,51.8,46,45.8,14,14,2,2,0,0,224,213,42,17.3,1,1,2,2,7,7,52,27.3,276,241,"£454,109","£22,524","£8,077",£0,"£33,625","£41,514","£559,849","£101,725",£0,"£101,725","£661,574",
Health & Social Care Information Centre,Special Health Authority,Department of Health,91,83.9,136,127.5,145,136.3,129,122.9,25,22,0,0,526,493,44,37.4,0,0,42,36.7,0,0,86,74.1,612,567,"£1,490,251","£3,662",£0,£308,"£196,835","£118,588","£1,809,644","£438,094","£33,845","£471,939","£2,281,583",
Health Protection Agency,Executive Non-Departmental Public Body,Department of Health,793,710.71,503,479.16,1708,1620.42,343,330.86,352,330.22,109,99.97,"3,808","3,571",65,59.75,7,6.4,18,13.7,2,1.3,92,81.15,"3,900","3,652","£10,645,031","£1,731,977",£0,"£84,555","£1,467,835","£1,124,426","£15,053,823","£448,308","£81,914","£530,222","£15,584,045",
Health Research Authority,Special Health Authority,Department of Health,0,0,9,8.75,7,7,8,7.7,2,2,0,0,26,25,4,3.3,2,1,0,0,0,0,6,4.3,32,30,"£90,986",£0,£0,£0,"£11,857","£8,510","£111,353","£34,937",£0,"£34,937","£146,290",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,2,1.56,21,17.53,31,29.49,10,9.62,4,4,0,0,68,62,0,0,0,0,0,0,0,0,0,0,68,62,"£224,048",£313,£0,"£2,913","£44,505","£21,376","£293,155",£0,"£5,703","£5,703","£298,858",The HFEA currently has 11 vacancies
