Payband,Headcount Men,Percentage Men,Headcount Women,Percentage Women,Headcount Not known,Percentage Not Known,Grand Total
A1,0,0.00%,0,0.00%,0,0.00%,0
A2,258,60.80%,155,36.60%,11,2.60%,424
B1,108,46.40%,121,51.90%,4,1.70%,233
B2,91,44.80%,111,54.70%,1,0.50%,203
B3,9,56.30%,5,31.30%,2,12.50%,16
Associate Prosecutor,237,62.40%,131,34.50%,12,3.20%,380
Crown Advocate / Senior Crown Advocate,33,44.60%,37,50.00%,4,5.40%,74
Crown Prosecutor / Senior Crown Prosecutor,94,69.10%,39,28.70%,3,2.20%,136
D,31,40.80%,41,53.90%,4,5.30%,76
E,34,48.60%,34,48.60%,2,2.90%,70
Grand Total,895,55.50%,674,41.80%,43,2.70%,1612
