Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Derby City,15/04/2010,Hlthcre-Foundation Trsts,SLA-Birmingham Child FT,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,6152091,34298.33
Department of Health,NHS Derby City,01/04/2010,AUC Additions,BALANCE SHEET,CARDINAL SQUARE LLP,6080773,44991.04
Department of Health,NHS Derby City,19/04/2010,Lease Rents,DSS Estates,CLOWES DEVELOPMENT UK LTD,6189698,35000
Department of Health,NHS Derby City,19/04/2010,Lease Rents,DSS Estates,CLOWES DEVELOPMENT UK LTD,6189701,135970
Department of Health,NHS Derby City,01/04/2010,Commercial Sector,Childrens Continuing Care,DERBY CITY COUNCIL,6026631,255377
Department of Health,NHS Derby City,01/04/2010,Independent Sector,CC-Fully Fund-PD-Over 65,DERBY CITY COUNCIL,6060919,33656.18
Department of Health,NHS Derby City,13/04/2010,Independent Sector,LD-General,DERBY CITY COUNCIL,6080956,1488000
Department of Health,NHS Derby City,01/04/2010,Independent Sector,AIDS,DERBY CITY COUNCIL,6103808,46000
Department of Health,NHS Derby City,09/04/2010,Independent Sector,DICES,DERBY CITY COUNCIL,6121560,30000
Department of Health,NHS Derby City,09/04/2010,Services from Local Auth,Contraception + Sex Hlth,DERBY CITY COUNCIL,6138492,55872
Department of Health,NHS Derby City,27/04/2010,Commercial Sector,CC-Fully Fund-LD-Under 65,DERBY CITY COUNCIL,6218601,82357.82
Department of Health,NHS Derby City,27/04/2010,Rates,Estate-Walk In Centre,DERBY CITY COUNCIL,6218608,37674
Department of Health,NHS Derby City,27/04/2010,Rates,Estate-Derwent Court,DERBY CITY COUNCIL,6218610,60945.82
Department of Health,NHS Derby City,27/04/2010,Rates,Estate-Cedars,DERBY CITY COUNCIL,6218611,32196.48
Department of Health,NHS Derby City,27/04/2010,Rates,DSS Estates,DERBY CITY COUNCIL,6218613,55182.97
Department of Health,NHS Derby City,27/04/2010,Admin & Clerical band 7,CS-Health Visiting,DERBY CITY COUNCIL,6218704,26907.65
Department of Health,NHS Derby City,13/04/2010,Hlthcre-Foundation Trsts,SLA-DHFT-Lead Purchaser,DERBY HOSPITALS NHS FOUNDATION TRUST,6152171,7000000
Department of Health,NHS Derby City,15/04/2010,Hlthcre-Foundation Trsts,SLA-DHFT Tariff-G+A,DERBY HOSPITALS NHS FOUNDATION TRUST,6158817,15333333
Department of Health,NHS Derby City,09/04/2010,Independent Sector,FNC-Funded Nursing Care,DERBYSHIRE COUNTY COUNCIL,6138509,41924.38
Department of Health,NHS Derby City,20/04/2010,Commercial Sector,CC-Fully Fund-MH-Over 65,DERBYSHIRE COUNTY COUNCIL,6174325,27455
Department of Health,NHS Derby City,06/04/2010,Internal Recharge: Rec,DSS SLA-IT-Informatics,DERBYSHIRE COUNTY PCT,6017053,177173.96
Department of Health,NHS Derby City,06/04/2010,Out of Hours Dev Fund PMS,Out Of Hours,DERBYSHIRE COUNTY PCT,6026632,40671.3
Department of Health,NHS Derby City,06/04/2010,Healthcare Srv Rec PCTs,MH-Retraction,DERBYSHIRE COUNTY PCT,6026635,185048.69
Department of Health,NHS Derby City,06/04/2010,Services Received - PCTs,Derbys County-Admin,DERBYSHIRE COUNTY PCT,6060873,48543.44
Department of Health,NHS Derby City,06/04/2010,Services Received - PCTs,Derbys County-Admin,DERBYSHIRE COUNTY PCT,6060874,48543.44
Department of Health,NHS Derby City,15/04/2010,Healthcare Srv Rec PCTs,MH-Complex OOA Inpatients,DERBYSHIRE COUNTY PCT,6129158,338042
Department of Health,NHS Derby City,15/04/2010,Healthcare Srv Rec PCTs,MH-Complex OOA Inpatients,DERBYSHIRE COUNTY PCT,6129159,256704
Department of Health,NHS Derby City,15/04/2010,Healthcare Srv Rec PCTs,Contraception Services,DERBYSHIRE COUNTY PCT,6152062,88000
Department of Health,NHS Derby City,15/04/2010,Computer Hardware Purch,Central Costs-IT Equip,DERBYSHIRE COUNTY PCT DCHS,6152070,26470.48
Department of Health,NHS Derby City,09/04/2010,Voluntary Sector,AIDS,DERBYSHIRE FRIEND,6129157,41877.56
Department of Health,NHS Derby City,06/04/2010,Out of Hours Dev Fund PMS,Out Of Hours,DERBYSHIRE HEALTH UNITED LTD,6121562,239701.83
Department of Health,NHS Derby City,06/04/2010,Hcare Srv Rec NHS Trust,SLA-Derbys MH NT-M/H,DERBYSHIRE MENTAL HEALTH SERVICES  NHS TRUST,6103807,137250
Department of Health,NHS Derby City,15/04/2010,Hcare Srv Rec NHS Trust,SLA-Derbys MH NT-L/D,DERBYSHIRE MENTAL HEALTH SERVICES  NHS TRUST,6158815,355800
Department of Health,NHS Derby City,15/04/2010,Hcare Srv Rec NHS Trust,SLA-Derbys MH NT-M/H,DERBYSHIRE MENTAL HEALTH SERVICES  NHS TRUST,6158815,2694800
Department of Health,NHS Derby City,23/04/2010,Voluntary Sector,CHE - General,DERBYSHIRE MIND,6199759,31000
Department of Health,NHS Derby City,09/04/2010,Voluntary Sector,AIDS,DERBYSHIRE POSITIVE SUPPORT,6129160,42069.57
Department of Health,NHS Derby City,20/04/2010,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,6174343,106345
Department of Health,NHS Derby City,20/04/2010,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,6182368,585168.83
Department of Health,NHS Derby City,06/04/2010,Senior Manager band 8,DSS Review Costs,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,6060891,83871.5
Department of Health,NHS Derby City,13/04/2010,Commercial Sector,FNC-Funded Nursing Care,EUROPEAN CARE DERBY LTD,6138664,28631.54
Department of Health,NHS Derby City,13/04/2010,Audit Fees: Statutory,Audit,GRANT THORNTON,6152104,49614.38
Department of Health,NHS Derby City,15/04/2010,Services Received - PCTs,Cont Care-Retro Assess,LEICESTER CITY PCT,6122894,37544.96
Department of Health,NHS Derby City,15/04/2010,Healthcare Srv Rec PCTs,NHS-Cancer Network,LEICESTER CITY PCT,6152064,42911
