CPS outcomes by principal offence category surrey,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,112,88.9%,14,11.1%
C Sexual Offences,7,70.0%,3,30.0%
D Burglary,21,72.4%,8,27.6%
E Robbery,4,100.0%,0,0.0%
F Theft And Handling,122,93.8%,8,6.2%
G Fraud And Forgery,12,85.7%,2,14.3%
H Criminal Damage,23,82.1%,5,17.9%
I Drugs Offences,110,95.7%,5,4.3%
J Public Order Offences,52,94.5%,3,5.5%
K All Other Offences (excluding Motoring),15,71.4%,6,28.6%
L Motoring Offences,292,92.7%,23,7.3%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,771,89.5%,90,10.5%
