Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,79,73.27,318,307.29,672,646.74,671,638.94,153,146.98,0,0,1893,1813.22,37,37.97,0,0,68,64.71,2,1.06,107,103.74,2000,1916.96,"£6,739,530","£7,098","£482,197","£12,534","£1,459,596","£871,492","£9,572,447","£728,393","£65,248","£793,641","£10,366,088",,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,396,370.28,302,295.71,2042,1979.66,461,450.06,128,121.14,26,21.08,3355,3237.93,4,4,0,0,0,0,0,0,4,4,3359,3241.93,"£10,840,282",£244,£0,£0,"£1,471,722","£1,224,611","£13,536,859","£43,168",£0,"£43,168","£13,580,027",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,84,72.9,358,343.8,805,779.2,1293,1263.2,190,180.7,0,0,2730,2639.8,45,39,0,0,57,45.9,0,0,102,84.9,2832,2724.7,"£9,749,685","£129,940",£0,"£13,947","£1,289,613","£1,066,413","£12,249,599","£708,972","£9,600","£718,572","£12,968,171",,
Health Education England,Executive Non-Departmental Public Body,Department of Health,99,90.41,600,550.58,519,476.94,413,385.82,862,322.92,0,0,2493,1826.67,103,88.3,0,0,1.25,3,0,0,104.25,91.3,2597.25,1917.97,"£6,653,716","£105,260",£0,"£12,735","£806,120","£653,807","£8,231,639","£311,922",£0,"£311,922","£8,543,561",,The Contingent Labour figure is £312k which is £50k lower than last month. This is likely to be a mix of posts being filled along with the generally quieter period during school holidays.  
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,11,7.11,90,83.42,62,57.4,38,32.7,5,4.4,0,0,206,185.03,16,10.14,4,3.5,0,0,0,0,20,13.64,226,198.67,"£557,928",£0,£0,"£2,540","£66,168","£49,207","£675,843",61993.6,487,"£62,481","£738,324",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,18,16.01,37,35.89,8.83,8.83,3,3,0,0,66.83,63.73,4,4,0,0,2,2,0,0,6,6,72.83,69.73,"£218,690",£0,0,£0,"£46,945","£24,540","£290,175","£34,461","£39,481","£73,942","£364,117",,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,7,6.8,25,23.6,9,8.3,4,3.8,0,0,47,44.5,0,0,0,0,0,0,0,0,0,0,47,44.5,170954.6,0,841,0,18700.29,19473.45,209969.34,2267,2578,4845,214814.34,,
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,77,74.67,222,211.09,463,450.3189033,356,343.86835,149,133.82332,0,0,1267,1213.770573,35,34,4,4,3,3,0,0,42,41,1309,1254.770573,"£4,612,216","£9,990",254082.47,"£22,073","£977,524","£556,878","£6,432,762","£319,780",£0,"£319,780","£6,752,542",,
Monitor,Executive Non-Departmental Public Body,Department of Health,22,22,40,40,102,101.2,299,289.7111111,72,69.8,0,0,535,522.7111111,13,13,18,16.57,10,7.45,0,0,41,37.02,576,559.7311111,"£2,855,089",£0,£0,£0,"£609,985","£345,038","£3,810,113","£348,290",£0,"£348,290","£4,158,403",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,14.95,88,82.98,245,234.2,232,216.5,55,49.7,5,3.32,640,601.65,9,8.44,0,0,17,16.25,0,0,26,24.69,666,626.34,"£2,191,337","£22,532",0,£0,"£290,267","£247,991","£2,752,127","£185,480",£0,"£185,480","£2,937,607",,
NHS Blood & Transplant,Special Health Authority,Department of Health,2068,1679.13,1126,1031.23,1451,1337.56,489,478.7,68,65.67,54,48.15,5256,4640.44,59,59,17,17,6,6,0,0,82,82,5338,4722.44,"£11,861,101","£730,392",£0,"£318,698","£1,654,938","£1,310,751","£15,875,881","£205,425",£639,"£206,064","£16,081,945",,
NHS Business Services Authority,Special Health Authority,Department of Health,1756,1563.06,415,395.11,288,281.16,177,170.56,47,43.33,0,0,2683,2453.22,137,137,0,0,0,0,0,0,137,137,2820,2590.22,"£4,716,148","£9,944","£155,424","£80,164","£575,061","£388,829","£5,925,570","£681,247",£0,"£681,247","£6,606,817",,
