No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion STIRLING,Stage 2 - Total,Stage 3 - Exclusion ABERNETHY,Stage 3 - Total,Stage 4 - Transfer CAMPBELL,Stage 4 - Total,Stage 5 - Exclusion PARKE,Stage 5 - Total,Stage 6 - Exclusion KNOTT,Stage 6 - Total,Stage 7 - Exclusion ALEXANDER,Stage 7 - Total,Stage 8 - Exclusion TORRENS,Stage 8 - Total,Stage 9 - Exclusion MCPHERSON,Stage 9 - Total,Stage 10 - Transfer HUNTER,Stage 10 - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ABERNETHY,,INDEPENDENT,Excluded - Stage 2,207.00,4.00,211.00,-211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ALEXANDER,,NI22,Excluded - Stage 6,265.00,0.00,265.00,12.00,277.00,0.62,277.62,13.00,290.62,1.00,291.62,-291.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CAMPBELL,,DUP,Elected - Stage 3,910.00,5.00,915.00,30.00,945.00,-18.00,927.00,0.00,927.00,0.00,927.00,0.00,927.00,0.00,927.00,0.00,927.00,0.00,927.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FIELDING,,DUP,Elected - Stage 8,643.00,4.00,647.00,8.00,655.00,11.16,666.16,36.00,702.16,182.00,884.16,39.00,923.16,17.00,940.16,0.00,940.16,0.00,940.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FITZPATRICK,,ALLIANCE,Elected - Stage 8,745.00,0.00,745.00,11.00,756.00,1.24,757.24,9.00,766.24,1.00,767.24,74.00,841.24,93.00,934.24,0.00,934.24,0.00,934.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HICKEY,,SDLP,Elected - Stage 10,699.00,0.00,699.00,0.00,699.00,0.00,699.00,9.00,708.00,1.00,709.00,24.00,733.00,69.00,802.00,11.00,813.00,14.25,827.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HILLIS,,UUP,Elected - Stage 9,669.00,2.00,671.00,8.00,679.00,0.00,679.00,28.00,707.00,5.00,712.00,37.00,749.00,24.00,773.00,210.00,983.00,0.00,983.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,HUNTER,,UUP,Elected - Stage 9,762.00,5.00,767.00,19.00,786.00,1.86,787.86,17.00,804.86,9.00,813.86,18.00,831.86,31.00,862.86,163.00,1025.86,-98.86,927.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KENNEDY,,DUP,Excluded - Stage 10,497.00,7.00,504.00,18.00,522.00,1.86,523.86,9.00,532.86,60.00,592.86,9.00,601.86,12.00,613.86,52.00,665.86,57.00,722.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KNOTT,,DUP,Excluded - Stage 5,260.00,3.00,263.00,1.00,264.00,0.00,264.00,16.00,280.00,-280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
