Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCRIPTION
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010175741""",2431.52,BOOTLE VOLUME RELATED PAYMENT FEB 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,PFI CHARGES,CENTRAL EXPENDITURE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010175741""",55702.00,BOOTLE CAP CREDIT FEB 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010175741""",296226.64,BOOTLE UINTARY PAYMENT FEB 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,PFI CHARGES,BUSINESS SERVICES DIRECTORATE,BOOTLE ACCOMMODATION PARTNERSHIP LIMITED,"=""0010175741""",412628.00,PFI FINANCE CHARGE - BOOTLE - FEB 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010175764""",58966.53,CARLSON270212
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,PESTICIDES SURVEY,CHEMICAL REGULATIONS DIRECTORATE,THE FOOD & ENVIRONMENT RESEARCH AGENCY,"=""0010175773""",99998.80,PESTICIDE USAGE SURVEY
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,RATES,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010175776""",5706.39,RATES NEWCASTLE OFFICE - JAN-MAR 12
DWP,HEALTH AND SAFETY EXECUTIVE,01/03/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010175776""",52915.74,ACCOM NEWCASTLE - APR-DEC 11 - CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,CONSULTANTS FEES,OFFICE FOR NUCLEAR REGULATION,ERNST & YOUNG,"=""0010175826""",45940.00,ONR TRANSFORMATION  05/01/2012-03/02/2012 
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,DWP,"=""0010175831""",42651.74,PROJECT COSTS NEWCASTLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,RENTS,BUSINESS SERVICES DIRECTORATE,WORKMAN LLP,"=""0010175844""",36141.00,NORTHAMPTON OFFICE RENT-25/3/12-23/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,PESTICIDE RESIDUE TESTING,CHEMICAL REGULATIONS DIRECTORATE,THE FOOD & ENVIRONMENT RESEARCH,"=""0010175861""",166814.00,PESTICIDE RESIDUE TESTING - SEPT 11 TO DEC 11
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,CARILLION FACILITIES MANAGEMENT,"=""0010175874""",76795.44,REFURBISHMENT OF OXTED OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,VIVIENNE PROPERTIES,"=""0010175875""",24007.50,NOTTINGHAM OFFICE- S/C -25/3-23/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,06/03/2012,RENTS,BUSINESS SERVICES DIRECTORATE,VIVIENNE PROPERTIES,"=""0010175875""",50250.00,NOTTINGHAM OFFICE-RENT25/3-23/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,08/03/2012,TRAVEL SERVICES,CENTRAL EXPENDITURE,CARLSON WAGONLIT TRAVEL,"=""0010175888""",75922.11,CARLSON050312
DWP,HEALTH AND SAFETY EXECUTIVE,08/03/2012,OTHER ASSOC RENT COSTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"=""0010175895""",17258.40,6TH FLR BRIMINGHAM-S/C-25/3/12-23/6/12
DWP,HEALTH AND SAFETY EXECUTIVE,08/03/2012,RENTS,BUSINESS SERVICES DIRECTORATE,OYSTER JERSEY PROPERTY FUND,"=""0010175895""",35490.00,6TH FLR BRIMINGHAM-RENT-25/3/12-23/6/12
