"AP Invoices over £xxx  Amount Paid > £xxx (Payment Date)  Parameters: Ledger ID : '2097' , AP Payment Date Start : '01-FEB-2015' , AP Payment Date End : '28-FEB-2015' , AP - Minimum Payment Limit : '25000'  Report Ran: 27-FEB-15 01.00.50 PM",,,,,,,,,,,
,,,,,,,,,,,
Org Code:RMPN,Ledger Id:2097,,,,,,,,,,
,,,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount,Invoice Amount,Reclaimable VAT,Description,Line Type
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,PENNINE ACUTE HOSPITALS NHS TRUST,115538,"200,000.00","200,000.00",,V5061710 SPECIALIST REGISTRARS ESTIMATE FEB 15,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,PENNINE ACUTE HOSPITALS NHS TRUST,115556,"100,000.00","100,000.00",,V5061709 GP TRAINEE ESTIMATE FEB 15,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,01-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015178522,"64,906.49","64,906.49",,V5059426 SUPPLY CHAIN GOODS DELIVERED W.E 02/01/15,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015181187,"69,351.42","69,351.42",,V5059918 NHS PRODUCT SALES W/E 09/01/15,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,NHS SUPPLY CHAIN,1015187034,"98,459.93","98,459.93",,V5060393 NHS PRODUCT SALES W/E 16/01/15,Recoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015187034,"98,459.93","98,459.93",,V5060393 NHS PRODUCT SALES W/E 16/01/15,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS SUPPLY CHAIN,1015192129,"104,474.86","104,474.86",,V5061352 NHS PRODUCT SALES W/E 23/01/15,Item
INFORMATION,Tameside NHS Foundation Trust,26-Feb-15,EXTERNAL DATA CONTRACTS,IT,GE MEDICAL SYSTEMS LTD,103/2584,"36,876.40","36,876.40",,V5060619 PREPAY 313154 01-01-2015 TO 31-03-2015 PACS SERVER,Item
PATHOLOGY,Tameside NHS Foundation Trust,01-Feb-15,LABORATORY REAGENTS,PATHOLOGY,BECKMAN COULTER UK,1312393,"69,103.80","57,586.50","11,517.30",v5059987 4311012995,Item
NURSING,Tameside NHS Foundation Trust,26-Feb-15,B5 QLFD BANK NURSE,NURSING,NHS PROFESSIONALS LTD,13984197,"150,821.36","125,684.47","25,136.89",V5059547 TRUE UP OF SERVICE CHARGE FOR NURSING STAFF NOV 13-0CT 14,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984291,"69,172.31","83,006.77","13,834.46",V5059879 BANK STAFF RECH WEEK 40 2015,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984398,"111,807.54","134,169.05","22,361.51",V5059875 AGENCY STAFF RECH WKK 40 2015,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984520,"66,717.03","80,060.43","13,343.40",V5060409 BANK STAFF RECH WEEK 41 2014/15,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984690,"82,115.56","98,538.67","16,423.11",V5060909 BANK STAFF WEEK 42 2014/15,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984805,"20,880.81","25,056.97","4,176.16",V5060906 AGENCY STAFF RECH WEEK 42 2014/15,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,NHS PROFESSIONALS LTD,13984964,"38,537.43","46,244.92","7,707.49",V5061778 AGENCY STAFF RECH WEEK 43 2014/15,Nonrecoverable Tax
ESTATES,Tameside NHS Foundation Trust,26-Feb-15,GAS,ESTATES OPERATIONS,GAZPROM MARKETING AND TRADING RETAIL LTD,3232621,"54,505.09","54,505.09",,V5060628 30-11 to 31-12-2014 TRUST GAS USAGE,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,MED SURG EQPT HIRE,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391091179,"31,251.25","37,501.50","6,250.25",E-MAIL - CALL OFF ORDER FOR THE HIRE OF EQUIPMENT FOR A 3 YEAR PERIOD TO POST A CIP TO CO3(EL) (2ND YEAR),Item
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,EXTERNAL CONTRACTS : DOMESTICS,HOTEL SERVICES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,39461/90901460,"150,015.00",,,V5061549 SERVICE CONTRACT FEBRUARY 2015,Item
