Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,04/02/2014,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Copeland Andrew ,1377329,"40,445.82",5148289435,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/02/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Howes Sally ,1377865,"27,298.34",3761272488,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/02/2014,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Evans Elwen ,1378145,"29,465.69",6064283916,SA1 4BQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/02/2014,Crown Court Very High Cost Cases,Organised Crime Division,Bryant-Heron Mark Nicholas ,1378246,"49,632.00",164507/300913,WC2A 2JR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,New Works,Corporate,DTZ Debenham Tie Leung,5031705,"50,009.06",NC01290248,EH3 9QG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Repairs And Maintenance,Corporate,Rackline Storage Ltd Talke,5031734,"9,349.20",11/2011-12/2013 storage costs EC4M 7EX,ST7 1RX,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Repairs And Maintenance,Corporate,Rackline Storage Ltd Talke,5031734,"21,814.80",11/2011-12/2013 storage costs EC4M 7EX,ST7 1RX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,London,Altman Brian ,1378601,"65,962.98",6250284889,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Very High Cost Cases,East Midlands Area,Herbert David ,1378396,"33,691.50",3713291641,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,London,Darlow A ,1378521,"26,868.10",6250287226,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,London,Karmy-Jones Riel ,1378378,"42,951.72",6250283678,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,London,Little Tom ,1378612,"33,063.78",6250285025,EC4A 3DG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,London,Haughey Caroline ,1378642,"51,845.70",6250285084,EC4A 1JQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/02/2014,Crown Court Graduated Fee Scheme,Central Fraud Group,Munday Gareth ,1378577,"59,074.98",7502292449,EC4A 3DG,Not available,Not available,Not available,Programme
