"Department Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Invoice Number"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12019988,213301.39,"799393"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12043676,-30214,"451164"
"Department of Health","Portsmouth Hospitals Trust","19/12/2010","Blood Products","BLOOD TRANSFUSION SERVICE","NHS BLOOD & TRANSPLANT",12151498,213301.39,"800191"
"Department of Health","Portsmouth Hospitals Trust","14/12/2010","Capital Non Pay Costs","Balance Sheet","LEARNING CLINIC LTD",12102853,52875,"0256"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Commercial Sector","HAVANT DIALYSIS","RENAL SERVICES OPERATIONS LTD",12127518,115299.92,"475"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Commercial Sector","SALISBURY DIALYSIS","RENAL SERVICES OPERATIONS LTD",12127519,47870.08,"66"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Computer Maintenance","EPR DEVELOPMENT DISTRICT","ISOFT PLC",12102885,12730.09,"SI005004"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Computer Maintenance","EPR DEVELOPMENT PHT","ISOFT PLC",12102885,208074.89,"SI005004"
"Department of Health","Portsmouth Hospitals Trust","14/12/2010","Computer Maintenance","ICT SERVICES PHT","TAYLOR MADE COMPUTER SOLUTIONS LTD",12027337,200693.71,"SIN026682"
"Department of Health","Portsmouth Hospitals Trust","30/12/2010","Computer Maintenance","ICT SERVICES PHT","TAYLOR MADE COMPUTER SOLUTIONS LTD",12161426,-32346.85,"SCR001720"
"Department of Health","Portsmouth Hospitals Trust","30/12/2010","Computer Maintenance","ICT SERVICES PHT","TAYLOR MADE COMPUTER SOLUTIONS LTD",12194361,32346.85,"SIN025851"
"Department of Health","Portsmouth Hospitals Trust","14/12/2010","Computer Maintenance","PACS PROJECT","GE HEALTHCARE LTD",12109979,259123,"5017"
"Department of Health","Portsmouth Hospitals Trust","23/12/2010","Computer Software/License","LIBRARY SERVICES","ELSEVIER",12171453,35075,"18399"
"Department of Health","Portsmouth Hospitals Trust","17/12/2010","Computer Software/License","theatre management","SMART USE LTD",12145338,35015,"PSI001218"
"Department of Health","Portsmouth Hospitals Trust","03/12/2010","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",12043525,72544.32,"0000112060"
"Department of Health","Portsmouth Hospitals Trust","03/12/2010","Drugs","Renal senior team","POLAR SPEED DISTRIBUTION LTD",12043541,57095.84,"0000114020"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Electricity","UTILITIES SMH","SOUTHERN ELECTRIC PLC",12161241,27257.59,"9313037980031"
"Department of Health","Portsmouth Hospitals Trust","29/12/2010","Equip Maint Contracts","BREAST SCREENING","NHS SUPPLY CHAIN",12197179,69514.92,"2011000720"
"Department of Health","Portsmouth Hospitals Trust","17/12/2010","External Consultancy Fees","theatre management","SMART USE LTD",12145338,80500,"PSI001218"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","FP10S","FP10S TO RECHARGE","NHS BUSINESS SERVICES AUTHORITY",12002934,66307.09,"PHS1000025999"
"Department of Health","Portsmouth Hospitals Trust","03/12/2010","Laboratory Equipment","BLOOD SCIENCES","BECKMAN COULTER UK LTD",11976390,101001.38,"1210351"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","Laboratory External Tests","TRANSPLANT DRUGS","NHS BLOOD & TRANSPLANT",12043512,46269.47,"447521"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Laboratory Test Kits","MICROBIOLOGY","BECTON DICKINSON UK LTD",12034691,38349.42,"110009674"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Lease Rents","MITCHELL WAY PREMISES","SEGRO PORTSMOUTH LTD",12127522,39656.25,"162412"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Limbs","LIMBS","OTTO BOCK HEALTHCARE PLC",12102839,252331.27,"231000140"
"Department of Health","Portsmouth Hospitals Trust","21/12/2010","Limbs","LIMBS","OTTO BOCK HEALTHCARE PLC",12102842,26597.59,"231000141"
"Department of Health","Portsmouth Hospitals Trust","22/12/2010","Minor Works","SMH decommissioning  - general (revenue)","T COLEBORN & SON",12075477,40185,"3357"
"Department of Health","Portsmouth Hospitals Trust","03/12/2010","Miscellaneous Expenditure","BUSINESS INTELLIGENCE","DR FOSTER LTD",12043551,25644.38,"0001007051"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",11974957,157683.73,"1011017381"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",11975023,153365.7,"1011021612"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",11994790,156815.01,"1011024609"
"Department of Health","Portsmouth Hospitals Trust","15/12/2010","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12080614,182400.72,"1011029273"
"Department of Health","Portsmouth Hospitals Trust","15/12/2010","NHS payables - Current","Balance Sheet","NHS SUPPLY CHAIN",12088735,149675.14,"1011033646"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",11974947,51447.9,"13945461"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",11988568,54326.16,"13945567"
"Department of Health","Portsmouth Hospitals Trust","06/12/2010","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12059763,54442.25,"13945681"
"Department of Health","Portsmouth Hospitals Trust","15/12/2010","NonNHS Trade Pybls Curr","Balance Sheet","NHS PROFESSIONALS LTD",12059786,54552.04,"13945777"
"Department of Health","Portsmouth Hospitals Trust","09/12/2010","Other Liabilities - Curr","Balance Sheet","THE HOSPITAL COMPANY (QAH PORTSMOUTH) LTD",12096095,4100158.36,"QAH115"
"Department of Health","Portsmouth Hospitals Trust","14/12/2010","Other Patients Welfare","RENAL UNIT CHAR FUND","HOSPIRA UK LTD",12027027,25900,"602232043"
"Department of Health","Portsmouth Hospitals Trust","24/12/2010","Other Transport Costs","PTS BASINGSTOKE AREA","PTS SOUTHERN LTD",12109982,26982.66,"232"
"Department of Health","Portsmouth Hospitals Trust","24/12/2010","Other Transport Costs","PTS CHANDLERS FORD AREA","PTS SOUTHERN LTD",12109983,33734.46,"231"
"Department of Health","Portsmouth Hospitals Trust","10/12/2010","Other Transport Costs","PTS MAU Contract","E-ZEC MEDICAL TRANSPORT SERVICES LTD",12095675,6379,"110109"
"Department of Health","Portsmouth Hospitals Trust","10/12/2010","Other Transport Costs","PTS PORTSMOUTH AREA","E-ZEC MEDICAL TRANSPORT SERVICES LTD",12095675,199292.4,"110109"
