Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,03/07/2017,Crown Court Graduated Fee Scheme,North West Area,Blackshaw Henry 30743B,1810812,"28,357.32",2526934436,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Graduated Fee Scheme,East Midlands Area,Peet Andrew 27570B,1811069,"33,214.56",3761929055,LE2 4QP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Enoch Dafydd Huw 21218B,1811079,"90,702.42",2858934879,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Smith Christopher J 37370B,1811169,"46,807.80",2858934881,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Graduated Fee Scheme,North West Area,Thomas Andrew 24572B,1811185,"28,176.05",2512931823,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Lewis Paul 14707B,1811303,"53,293.20",6019935039,EC4Y 7BD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Very High Cost Cases,Cymru/Wales Area,Clee Christopher 19091B,1811373,"31,800.00",6019935205,SA1 8AS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/07/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Miskin Charles 15815B,1811375,"38,291.00",7503928829,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/07/2017,Crown Court Graduated Fee Scheme,London North,Hallam Jacob 35285B,1811584,"39,613.15",6403920007,EC4R 2RP,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,06/07/2017,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Mills Simon 21827B,1812130,"25,101.03",6019935945,CH1 2LU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/07/2017,Crown Court Graduated Fee Scheme,East of England Area,Rafferty Angela 33144B,1813960,"33,781.97",4344938195,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/07/2017,Crown Court Graduated Fee Scheme,East of England Area,Paxton Christopher 27906B,1814275,"33,681.12",4309939390,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/07/2017,Crown Court Graduated Fee Scheme,London North,Denison Simon 21923B,1814536,"71,751.54",6403940274,EC4R 2RP,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,13/07/2017,Crown Court Graduated Fee Scheme,North East Area,Thomas Daniel 48286B,1814669,"29,160.88",2003937789,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2017,Crown Court Graduated Fee Scheme,Special Crime Division,Glasgow Oliver 34547B,1815316,"61,358.24",7101940418,EC4Y 7BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/07/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Miskin Charles 15815B,1815428,"35,691.50",7503940927,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,London North,Orchard Anthony 27565B,1815453,"35,251.21",6403940234,EC4Y 7DN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,North East Area,Usher Neil 30793B,1815727,"47,995.72",2003937760,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,Special Crime Division,Corbett-Jones Matthew 40227B,1815814,"33,555.34",7101941301,CH1 2LU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Very High Cost Cases,North East Area,Elvidge John 23773B,1815876,"32,097.00",2003940832,NE1 3DQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Unsworth Ian 28990B,1815949,"25,458.47",2420935144,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,London South,Dawes James 31418B,1816020,"34,460.76",6501940026,EC4Y 9DB,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,North East Area,Robertson Andrew 15471B,1816024,"26,496.80",2018941904,LS11 5DL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Crown Court Graduated Fee Scheme,London North,Smith Joel 44032B,1816028,"35,848.79",6403941882,EC4A 1JQ,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,17/07/2017,Advice/Pre-sending - Very High Cost Cases,Special Crime Division,Matthews Richard Andrew 23847B,1816187,"53,767.00",7107940846,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,London North,Clarity Travel Management,1816327,"1,751.91",030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,London North,Clarity Travel Management,1816327,"1,071.95",12617-180617 CPS Witness,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,London South,Clarity Travel Management,1816327,"4,696.87",030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,London South,Clarity Travel Management,1816327,"2,295.95",12617-180617 CPS Witness,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,Merseyside and Cheshire Area,Clarity Travel Management,1816327,-8.20,030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,North East Area,Clarity Travel Management,1816327,255.00,030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,South East Area,Clarity Travel Management,1816327,273.10,030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,South East Area,Clarity Travel Management,1816327,665.00,12617-180617 CPS Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1816327,412.47,12617-180617 CPS Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,Wessex Area,Clarity Travel Management,1816327,"6,594.47",12617-180617 CPS Witness,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/07/2017,Foreign Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1816327,"1,640.67",030717-090717 Witness,ST18 0WN,Not available,Not available,Not available,Programme
