Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
201607,Parking ticket,214,1.14,0.93%,2.46%,00:01:52,1.92
201607,access ni,154,1.44,14.29%,19.46%,00:04:22,3.56
201607,Mot,154,1.25,12.99%,10.94%,00:02:59,2.55
201607,parking ticket,149,1.15,2.68%,2.34%,00:02:17,1.97
201607,blue badge,148,1.53,6.08%,7.05%,00:03:05,2.59
201607,Theory test,131,1.34,8.40%,5.11%,00:03:24,2.89
201607,birth certificate,127,1.32,5.51%,5.36%,00:03:58,2.03
201607,Birth certificate,124,1.37,8.87%,5.88%,00:03:20,1.69
201607,rates,124,1.28,7.26%,13.21%,00:03:33,3.06
201607,mot,117,1.25,10.26%,12.33%,00:03:51,3.35
201607,Car tax,109,1.61,42.20%,15.34%,00:01:08,0.86
201607,Rates,103,1.17,5.83%,17.50%,00:01:43,1.81
201607,theory test,100,1.19,4.00%,10.08%,00:03:08,3.12
201607,carers allowance,97,1.63,12.37%,11.39%,00:04:24,3.29
201607,Driving test,91,1.23,9.89%,5.36%,00:02:11,2.21
201607,Blue badge,87,1.51,19.54%,3.82%,00:03:03,1.86
201607,tax,87,1.13,35.63%,24.49%,00:01:15,1.07
201607,family history,82,1.44,6.10%,15.25%,00:05:14,4.52
201607,Jobs,81,1.86,39.51%,9.27%,00:01:09,1.32
201607,car tax,79,1.54,29.11%,24.59%,00:01:31,1.06
201607,esa,78,1.37,19.23%,33.64%,00:03:10,1.81
201607,jobs,76,1.54,23.68%,17.95%,00:02:20,2.72
201607,accessni,74,1.39,8.11%,11.65%,00:05:41,3.72
201607,sorn,62,1.81,24.19%,9.82%,00:02:26,2.4
201607,pip,59,1.34,5.08%,18.99%,00:03:51,1.98
201607,attendance allowance,57,1.82,5.26%,8.65%,00:04:11,2.65
201607,pension credit,57,1.49,10.53%,15.29%,00:03:58,2.51
201607,birth certificates,56,1.3,7.14%,5.48%,00:04:59,2.79
201607,taxi,56,1.39,0.00%,20.51%,00:04:36,3.2
201607,groni,55,1.36,3.64%,2.67%,00:08:10,5.53
201607,Access ni,54,1.65,22.22%,16.85%,00:03:34,3.11
201607,Contact number,53,1.43,24.53%,15.79%,00:03:25,2.09
201607,passport,53,1.42,5.66%,6.67%,00:03:55,1.36
201607,Carers allowance,52,1.4,13.46%,15.07%,00:04:15,2.58
201607,driving test,51,1.18,1.96%,6.67%,00:03:06,2.71
201607,enhanced check,51,1.1,3.92%,3.57%,00:03:52,2.69
201607,births,48,1.71,10.42%,19.51%,00:04:31,2.54
201607,dla,48,1.29,10.42%,22.58%,00:03:46,2.52
201607,proni,48,2.06,2.08%,8.08%,00:08:38,6.12
201607,driving licence,47,1.51,10.64%,15.49%,00:03:40,2.96
201607,Phone number,47,1.38,23.40%,9.23%,00:03:04,2.11
201607,ESA,46,1.43,10.87%,39.39%,00:02:48,1.46
201607,birth records,45,1.73,11.11%,11.54%,00:06:15,4.16
201607,Contact,45,1.44,22.22%,15.38%,00:01:48,1.78
201607,state pension,45,1.98,13.33%,12.36%,00:04:54,1.76
201607,Book mot,44,1.43,2.27%,3.17%,00:03:34,3.82
201607,income support,44,1.52,0.00%,20.90%,00:06:44,3.52
201607,Income support,44,1.3,11.36%,8.77%,00:04:26,3.86
201607,Driving licence,43,1.72,32.56%,16.22%,00:02:10,1.79
201607,Esa,43,1.53,18.60%,33.33%,00:02:58,2.91
201607,Tax,43,1.23,20.93%,43.40%,00:00:57,0.63
201607,vehicle tax,43,1.42,37.21%,24.59%,00:02:03,0.74
201607,Family history,41,1.61,4.88%,18.18%,00:05:46,4.93
201607,careers,40,1.62,25.00%,24.62%,00:06:26,3.12
201607,Enhanced check,40,1.28,0.00%,1.96%,00:04:27,2.9
201607,tax credits,40,1.78,37.50%,21.13%,00:01:24,0.95
201607,wills,40,1.5,2.50%,11.67%,00:07:22,3.62
201607,Attendance allowance,39,1.51,5.13%,11.86%,00:04:51,3.33
201607,crisis loan,39,1.13,2.56%,13.64%,00:03:44,2.51
201607,child benefit,38,2.13,10.53%,24.69%,00:02:41,1.97
201607,DL1,38,1.34,18.42%,21.57%,00:02:49,1.42
201607,apprenticeships,37,1.76,5.41%,4.62%,00:07:24,5.65
201607,housing benefit,37,1.35,10.81%,10.00%,00:04:17,1.57
201607,pay rates,37,1.3,5.41%,10.42%,00:01:57,1.92
201607,Taxi,37,1.59,13.51%,10.17%,00:04:21,2.7
201607,Theory,36,1.25,0.00%,2.22%,00:03:47,3.06
201607,Birth certificates,35,1.83,8.57%,9.38%,00:03:42,1.83
201607,Challenge parking ticket,35,1.29,0.00%,0.00%,00:04:55,1.63
201607,change of address,35,1.49,25.71%,11.54%,00:01:33,2.57
201607,dl1,35,1.66,25.71%,18.97%,00:02:04,1.97
201607,marriage,34,1.41,11.76%,16.67%,00:02:49,3.24
201607,Sorn,34,1.68,32.35%,17.54%,00:01:19,1.76
201607,Crisis loan,33,1.61,15.15%,11.32%,00:03:56,2.3
201607,death,32,1.22,6.25%,15.38%,00:06:45,2.56
201607,ema,32,1.5,6.25%,31.25%,00:02:42,2.5
201607,fishing,32,2.56,6.25%,9.76%,00:06:35,5.5
201607,Housing benefit,32,1.22,25.00%,5.13%,00:04:13,1.53
201607,MOT,32,1.38,12.50%,15.91%,00:02:41,2.34
201607,Belfast,31,1.26,32.26%,17.95%,00:01:57,1.55
201607,Change of address,31,2.06,25.81%,9.38%,00:02:37,2.1
201607,maternity allowance,31,1.42,9.68%,18.18%,00:04:48,2.32
201607,apply for disclosure certificates,30,1.47,3.33%,6.82%,00:04:19,5.5
201607,retest,30,1.6,0.00%,14.58%,00:04:26,4.1
201607,Births,29,1.59,13.79%,17.39%,00:04:20,3.28
201607,employment and support allowance,29,1.55,3.45%,20.00%,00:04:06,1.93
201607,forms,29,1.72,10.34%,42.00%,00:02:50,1.76
201607,Book theory test,28,1.75,21.43%,2.04%,00:03:29,3.11
201607,change address,28,1.57,17.86%,22.73%,00:02:20,1.57
201607,Child benefit,28,1.71,17.86%,25.00%,00:01:11,1.36
201607,employment support allowance,28,1.5,7.14%,16.67%,00:05:17,3.07
201607,Pip,28,1.32,17.86%,10.81%,00:03:11,1.82
201607,Access NI,27,1.85,22.22%,14.00%,00:06:22,3.81
201607,book mot,27,1.33,18.52%,8.33%,00:04:11,2.52
201607,challenge parking ticket,27,1.26,3.70%,5.88%,00:01:42,1.26
201607,Dla,27,1.33,7.41%,13.89%,00:04:29,2.33
201607,landlord,27,1.22,3.70%,18.18%,00:02:55,2.22
201607,marriage certificate,27,1.19,11.11%,6.25%,00:02:49,1.3
201607,marriage records,27,2,25.93%,9.26%,00:03:20,3.59
201607,Parking tickets,27,1.26,0.00%,5.88%,00:02:51,1.89
201607,PIP,27,1.11,7.41%,10.00%,00:05:23,1.52
201607,Vehicle tax,27,1.44,33.33%,28.21%,00:03:17,0.56
201607,Fishing,26,2.54,11.54%,15.15%,00:08:39,4.96
201607,log in,26,1.54,15.38%,25.00%,00:05:48,3.54
201607,parking,26,1.23,3.85%,6.25%,00:04:09,3.04
201607,census,25,2.2,8.00%,16.36%,00:04:02,3.96
201607,contact number,25,1.32,4.00%,24.24%,00:02:47,3.2
201607,Marriage records,25,1.76,8.00%,15.91%,00:02:14,1.76
201607,Social fund,25,1.36,36.00%,14.71%,00:03:41,2
201607,birth,24,1.29,0.00%,32.26%,00:02:48,1.38
201607,Book driving test,24,1.42,8.33%,0.00%,00:04:54,2.46
201607,community care grant,24,1.21,12.50%,24.14%,00:02:02,1.62
201607,Marriage,24,1.25,12.50%,13.33%,00:03:49,3.08
201607,phone number,24,1.71,16.67%,14.63%,00:01:32,2.83
