Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/06/2015,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR102," 46,600.00 ",CONTRACT FUNDING 2015/16 - JUNE 2015,
Department of Health,03F,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010005333," 2,679,599.75 ",JUNE 2015/16 BLOCK CONTRACT,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410017602," 54,597.69 ",AP03 INVOICE FOR 1/12TH OF 15/16 CONTRACT AGREEMENT ,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1490000686,"-25,448.31 ",AP01 ADJUSTMENT CREDIT FOR 1/12TH OF 15/16 CONTRACT AGREEMENT ,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-CQUIN,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009443," 36,855.00 ",A&E CQUINS RECONCILIATION Q3 & Q4 2014/15,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009473," 53,433.00 ",RECONCILING CHARGE IN RESPECT OF A&E CONTRACT INVOICING APRIL /MAY 2015/16 RAISED AT 14/15 CONTRACT VALUES,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009484," 30,406.00 ",HART FUNDING APRIL & MAY 2015,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009547," 816,713.00 ",A&E CONTRACT INVOICE JUNE 2015 ,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009610," 118,422.33 ",PTS CONTRACT JUNE 2015 EXCLUDING CQUINS,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810009663," 53,990.00 ",NHS111 CONTRACT JUNE 2015,
Department of Health,03F,30/06/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,451,"-160,000.00 ",CREDIT NOTE - COMMUNITY PAEDIATRIC CHARGE FOR THE PERIOD APRIL 2014 - MARCH 2015,
Department of Health,03F,30/06/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312402457," 52,233.00 ",GP IT JUNE ,
Department of Health,03F,30/06/2015,Charges from CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312402592," 275,642.00 ",BASELINE 15/16 MONTH 3,
Department of Health,03F,30/06/2015,Computer Network Costs,PRIMARY CARE IT,NHS YORKSHIRE AND HUMBER CS,7312402686," 36,914.40 ",DATA LINE RECHARGE KCOM INVOICE STR000090305,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9575,"-46,913.00 ",A&E CONTRACT UNDERTRADE Q4 2014/15,
Department of Health,03F,30/06/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210016653," 14,226,163.00 ",2015/16 BLOCK CONTRACT INVOICE JUNE 2015,
Department of Health,03F,30/06/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102017-26-MAY-2015," 63,173.55 ",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,30/06/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,PRIVATE INDIVIDUAL,102019-26-MAY-2015," 25,909.04 ",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,850356," 29,501.41 ","NON PTS SERVICE 01/05/2015, PATHOLOGY FEE 01/05/2015",
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201503," 536,891.00 ",1/12 ESTIMATED ANNUAL CONTRACT VALUE JUNE 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000208439," 123,028.56 ",CARE IN THE COMMUNITY APRIL 2015,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000208522," 494,914.02 ",CONTINUING HEALTH RECHARGES APRIL 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000210008," 33,421.67 ",CARERS SUPPORT SERVICE MAY 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000210009," 123,028.56 ",CARE IN THE COMMUNITY MAY 2015,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000210106," 43,881.35 ",FNC RECHARGES 27/04/2015 - 24/05/2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000210150," 44,800.00 ",NHS PARTNERSHIP CONTRIBUTION TO HULL YOUTH JUSTICE SERVICE 2015/16,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000210297," 435,342.79 ",CONTINUING HEALTH RECHARGES MAY 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,SAFEGUARDING,HULL CITY COUNCIL,1000210327," 85,000.00 ",NHS HULL CCG CONTRIBUTION TO HSCB 2015/16,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000211276," 123,028.56 ",CARE IN THE COMMUNITY JUNE 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000211350," 33,421.67 ",CARERS SUPPORT SERVICE CONTRACT PROVIDED BY CITY HEALTH CARE PARTNERSHIP CIC JUNE 2015,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000211486," 394,822.55 ",CONTINUING HEALTH RECHARGES JUNE 2015,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000211542," 43,536.02 ",FNC RECHARGES 25/05/2015 - 21/06/2015,
Department of Health,03F,30/06/2015,Continence Products,FUNDED NURSING CARE,NHS SUPPLY CHAIN,1016011151," 25,053.04 ",NHS HOME DELIVERY PRODUCTS ,
Department of Health,03F,30/06/2015,NHS Recbles<1 Yr- CHC Risk Pool Con,BALANCE SHEET,PEPPERELLS SOLICITORS,102009-20-MAY-2015," 33,657.50 ",REIMBURSEMENT OF CARE FEES ,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,119252," 25,976.71 ",NHS ACTIVITY APRIL 2015,
Department of Health,03F,30/06/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1514," 67,584.34 ",CARE FEES MAY 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,163HC02A," 35,158.62 ",INTERPRETING SERVICES,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091679," 137,649.28 ",EQUIPMENT PURCHASES AND ACTIVITY AS PER THE ICON SPLIT INVOICEING REPORT,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091685," 44,949.83 ",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE (ADULTS) MAY 15,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,306HC03," 31,629.78 ",INTERPRETING SERVICES ,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410007202," 37,568.29 ",AQP PAIN MANAGEMENT FEBRUARY 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410007474," 42,448.51 ",AQP PAIN MANAGEMENT MARCH 2015,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410007814," 38,345.22 ",CONTINUING CARE NIGHT SITS APRIL 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410007889," 1,957,981.25 ",JUNE 2015 CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410007891," 45,386.50 ",JUNE 2015 CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410007896," 289,266.49 ",JUNE 2015 CONTRACTUAL INCOME DEPRESSION AND ANXIETY SERVICE COMPLETED TREATMENT ,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410008423," 73,894.81 ",RECHARGE FOR CHC FUNDED PERSONAL HEALTH BUDGET SPEND MARCH 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410008424," 150,993.45 ",RECHARGE FOR CHC FUNDED PERSONAL HEALTH BUDGET SPEND APRIL 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410008651," 42,367.44 ",AQP PAIN MANAGEMENT APRIL 2015,
Department of Health,03F,30/06/2015,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z416," 69,075.00 ",UNREGISTERED PATIENTS REVENUE,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,PRIORY GROUP LTD,DC604200SDN01," 33,600.00 ",CARE FEES 604200 27/04/2015 - 31/05/2015,
Department of Health,03F,30/06/2015,Clincial&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS007018," 135,299.83 ",MSK PAYMENT JUNE 2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000211389," 27,000.00 ",FOUR SEASONS FUNDING 2015/16,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,ROSSMORE NURSING HOME,2.02349E+11," 25,817.45 ",STROKE BEDS 01/07/2015 - 31/07/2015,
Department of Health,03F,30/06/2015,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,PRIVATE MEDICARE LTD,NOINV850," 37,992.24 ",JUNE 2015 CONTRACT CARE BED PAYMENT,
Department of Health,03F,30/06/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000515," 32,420.07 ",CARE FEES MAY 2015,
