Department for International Development,,,,,,,, Accounts 2011-12
,,,,,,,,
"12.     Property, plant and equipment",,,,,,,,
,,,,,,,,
Consolidated 2011-12,,,,,,,,
,,"Land, buildings and dwellings",Leasehold related assets,Vehicles,Furniture and equipment,IT equipment,Assets under construction,Total
,,£000,£000,£000,£000,£000,£000,£000
Cost or Valuation,,,,,,,,
At 1 April 2011,,"18,116 ","68,055 ","6,383 ","18,299 ","15,568 ","7,601 ","134,022 "
Additions ,,-,847 ,397 ,"1,052 ",153 ,"8,120 ","10,569 "
Revaluation,," (1,375)",75 ,65 ,78 , (7),-," (1,164)"
Brought into use / reclassifications,,"4,006 "," (4,181)",77 , (156),182 , (967)," (1,039)"
Disposals,, (712)," (2,514)", (213), (917), (214), (812)," (5,382)"
At 31 March 2012,,"20,035 ","62,282 ","6,709 ","18,356 ","15,682 ","13,942 ","137,006 "
,,,,,,,,
Depreciation,,,,,,,,
At 1 April 2011,," (1,418)"," (22,958)"," (4,128)"," (9,483)"," (8,953)",-," (46,940)"
Charged in year,, (889)," (2,704)", (852)," (1,508)"," (2,389)",-," (8,342)"
Depreciation on revaluation,,323 , (25), (32), (34),7 ,-,239 
Reclassifications,, (7), (23),-,85 , (361),-, (306)
Disposals,,50 ,568 ,182 ,518 ,191 ,-,"1,509 "
At 31 March 2012,," (1,941)"," (25,142)"," (4,830)"," (10,422)"," (11,505)",-," (53,840)"
,,,,,,,,
,,,,,,,,
Carrying Amount at 31 March 2012,,"18,094 ","37,140 ","1,879 ","7,934 ","4,177 ","13,942 ","83,166 "
,,,,,,,,
,,,,,,,,
Carrying Amount at 31 March 2011,,"16,701 ","45,095 ","2,256 ","8,815 ","6,617 ","7,601 ","87,085 "
,,,,,,,,
Asset financing:,,,,,,,,
Owned,,"18,094 ",19 ,"1,879 ","7,934 ","4,177 ","13,942 ","46,045 "
Finance-Leased,,-,"37,121 ",-,-,-,-,"37,121 "
