UK Fig 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of NGA networks: end 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,UK,FRA,FRA,GER,GER,GER,ITA,ITA,USA,USA,USA,CAN,CAN,JPN,AUS,AUS,ESP,ESP,NED,NED,NED,SWE,POL,POL,POL,BRA,BRA,BRA,RUS,IND,IND,CHN,
VDSL,FTTH/B,FTTLA,FTTH/B,FTTLA,VDSL,FTTH/B,FTTLA,VDSL,FTTH/B,VDSL,FTTH/B,FTTLA,VDSL,FTTH/B,FTTH/B,FTTH/B,FTTLA,FTTH/B,FTTLA,VDSL,FTTH/B,FTTLA,FTTH/B,VDSL,FTTH/B,FTTLA,VDSL,FTTH/B,FTTLA,FTTH/B,VDSL,FTTH/B,FTTH/B,
48,0.7334,47.911,20.9541,13.0084,31.6415,2.7338,55.2117,0.7785,11.1832,20.1615,18.1042,82.2917,56.0183,5.0571,87.1776,2.8812,17.2871,18.2339,39.7803,66.5514,23.3995,37.2688,46.177,12.2319,2.7261,11.5781,3.2355,1.9854,8.1704,35.9589,0.4498,0.3598,29.9017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGA connections per 100 people, by technology: 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTTH/B,VDSL,FTTLA,FTTx+LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,0,1.8,3.4,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,1.4,0,1,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.3,1.6,1.3,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,0.6,0.1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2.7,2.4,5.7,0,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,0.4,3.5,0,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,20,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,0.4,0,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0.8,0,1.5,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2.7,0.5,6.3,0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,11.4,0,0,2.7,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,0.1,0.5,2.1,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,0.1,0.1,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,5.2,0,0,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: FTTx Watch service, IDATE 2013 / industry data / Ofcom ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed broadband connections, by headline speed: 2009 and 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of connections (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,CAN,AUS,,ESP,,NED,,SWE,,IRL,,POL,,,,,,,,,,,,,
,2009,2012,2009,2012,2009,2012,2009,2012,2012,2012,2009,2012,2009,2012,2009,2012,2009,2012,2009,2012,2009,2012,,,,,,,,,,,,
2Mbit/s or less,7,1,23,2,39,16,29,12,21,8,37,7,40,12,27,2,33,3,34,7,72,39,,,,,,,,,,,,
>2Mbit/s up to and including 8Mbit/s,40,22,19,9,31,44,62,71,28,32,31,20,47,54,31,32,34,31,56,61,26,20,,,,,,,,,,,,
>8Mbit/s up to and excluding 30Mbit/s,53,63,57,82,28,27,10,13,40,51,30,53,12,23,31,31,20,38,10,32,1,31,,,,,,,,,,,,
30Mbit/s or higher,0,15,2,7,2,12,0,5,12,9,2,20,0,10,11,35,13,29,0,0,0,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / Ofcom / operator data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reason for choosing current fixed broadband service ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of respondents with superfast broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
The deal I was offered was good value for money,59,61,73,58,55,39,64,69,56,,,,,,,,,,,,,,,,,,,,,,,,,
Its download speed,46,24,43,42,47,41,44,43,50,,,,,,,,,,,,,,,,,,,,,,,,,
My previous service was slow and I wanted faster speeds,25,32,27,28,29,33,24,24,35,,,,,,,,,,,,,,,,,,,,,,,,,
Its upload speed,22,22,26,45,36,22,26,24,39,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of respondents without superfast broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
The deal I was offered was good value for money,71,53,75,69,54,46,57,72,36,,,,,,,,,,,,,,,,,,,,,,,,,
Its download speed,22,20,29,16,36,21,32,20,29,,,,,,,,,,,,,,,,,,,,,,,,,
My previous service was slow and I wanted faster speeds,13,21,19,20,30,15,23,20,29,,,,,,,,,,,,,,,,,,,,,,,,,
Its upload speed,5,19,16,17,20,11,14,13,14,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfaction with current fixed broadband service ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of respondents with superfast broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Overall service,89,84,79,78,86,58,85,79,88,,,,,,,,,,,,,,,,,,,,,,,,,
Download speeds,86,77,82,71,86,59,78,74,79,,,,,,,,,,,,,,,,,,,,,,,,,
Upload speeds,86,74,79,74,86,54,77,75,78,,,,,,,,,,,,,,,,,,,,,,,,,
Value for money,74,77,75,65,68,42,73,63,75,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of respondents without superfast broadband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Overall service,81,76,75,71,78,47,84,73,70,,,,,,,,,,,,,,,,,,,,,,,,,
Download speeds,71,61,75,58,77,44,61,61,62,,,,,,,,,,,,,,,,,,,,,,,,,
Upload speeds,69,63,68,58,72,36,60,59,59,,,,,,,,,,,,,,,,,,,,,,,,,
Value for money,70,63,65,55,63,53,71,57,61,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total telecoms voice call volumes, by sector: 2007 to 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call minutes (billions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
Fixed,149,103,104,111,198,178,102,77,809,469,72,0,113,56,19,13,68,61,26,21,28,15,9,6,24,13,214,172,0,0,0,0,0,164
Mobile,106,132,100,119,76,110,98,144,2124,2300,103,150,126,146,22,44,67,70,22,23,16,24,9,11,35,69,75,277,154,406,488,1801,2508,6418
Total,256,235,203,230,274,288,201,221,2933,2769,176,150,238,202,41,57,135,131,49,44,44,40,18,17,59,82,289,449,154,406,488,1801,2508,6582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Figures for USA, CAN and CHN include incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of voice call minutes originating on mobiles: 2007 to 2012 (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,72,76,79,80,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,54,59,62,66,71,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,53,57,60,67,69,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,59,63,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,49,52,55,58,62,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
