Department for Work and Pensions,,,,,,
Gifts received[1] by Special Advisers,,,,,,
Period : 1 January – 31 March 2014,,,,,,

name,Date gift received,From  ,Brief Description of Gift, Outcome ,,
Philippa Stroud,NIL return,,,,,
Lizzie Loudon,NIL return,,,,,
Romilly Dennys,NIL return,,,,,







"[1] Staff are required to record details of all gifts received regardless of value. If the gift is considered to be of value, a senior manager may decide to sell the gift and surrender the funds to Treasury, retain the gift, in which case it should be prominently displayed as a mark of politeness; or allow the officer to keep it",,,,,,
