Supplier payments over £250 in April 2014,,,,,,,,
Body Name,Date,Transaction No.,Amount,Supplier Name,Expense Area,Expense Type,Expense Code,Service Area
South Lakeland District Council,07/04/2014,39352,1225,CUMBRIA CONSTABULARY,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,09/04/2014,39450,250,KENDAL COLLEGE,Democratic Services,Room Hire,GCA1014190,Central Services
South Lakeland District Council,01/04/2014,39458,328.89,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Social Enterprise Admin,Fuel,GGK8213131,Highways & Transport Services
South Lakeland District Council,07/04/2014,39600,2025,CHEMICAL DESIGN,Coronation Hall,Advertising,GPH8214552,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39600,1854.3,CHEMICAL DESIGN,Coronation Hall,Postages,GPH8214680,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39602,5212,ENVIRONMENT & HOUSING GRANTS,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,17/04/2014,39652,500,YOUNG ENTERPRISE SOUTH CUMBRIA,Development Implementation,Economic Development Fund,GED0114051,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,09/04/2014,39686,220000,TWO CASTLES HOUSING ASSOCIATION LIMITED,Development Implementation,Professional Fees,KRE0422104,Planning and Development
South Lakeland District Council,14/04/2014,39694,600,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,02/04/2014,39703,1525,PLANET SOUTH LAKES,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,01/04/2014,39708,4183.02,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,STG3113131,Internal Trading Accounts
South Lakeland District Council,01/04/2014,39708,278.68,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,STS4013131,Internal Trading Accounts
South Lakeland District Council,01/04/2014,39708,13619.98,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Business Support Community Services,Fuel,SWK1313131,Internal Trading Accounts
South Lakeland District Council,14/04/2014,39711,400,IT PROFESSIONAL SERVICES (ITPS),ICT Group,Hardware Maintenance,ERI3214693,Central Services
South Lakeland District Council,16/04/2014,39712,2000,PENNINGTONS (KENDAL) LIMITED,Legal Services,Tipping & Disposal Charges,SWK1314573,Internal Trading Accounts
South Lakeland District Council,07/04/2014,39714,900,Open Spaces Ltd,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,14/04/2014,39717,1328,CUMBRIA COUNTY COUNCIL,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,07/04/2014,39718,2793.2,GREENGAGE CONSULTING LTD,Policy & Partnerships,Training Costs,EXS2111246,Central Services
South Lakeland District Council,16/04/2014,39719,733.84,PROBRAND LTD,ICT Group,Computer-Supplies,ERI3214691,Central Services
South Lakeland District Council,07/04/2014,39723,324.7,ARCO LIMITED,Business Support Community Services,Protective Clothing & Uniforms,STG3114310,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39726,500.58,GLASDON UK LTD,Business Support Community Services,Sea Defences & Land Drainage,GFW3212014,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39733,411.86,CUMBRIA TRUCK CENTRE LTD,Business Support Community Services,Transport-Repair & Maintenance,STS4013133,Internal Trading Accounts
South Lakeland District Council,14/04/2014,39736,529.89,CUMBRIA TRUCK CENTRE LTD,Business Support Community Services,Transport-Repair & Maintenance,STS4013133,Internal Trading Accounts
South Lakeland District Council,02/04/2014,39742,705,James Andrews Recruitment Solutions,Environment and Housing,Salaries,GHT4111101,Housing Services
South Lakeland District Council,07/04/2014,39743,433.65,Masterstaff Limited,Social Enterprise Admin,Contract & Agency staff,GLC9111160,Central Services
South Lakeland District Council,07/04/2014,39755,956.25,James Andrews Recruitment Solutions,Business Support Community Services,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,16/04/2014,39756,357.6,N WESTERN INSHORE FISHERIES &,Business Support Community Services,Sampling & Inspection fees,GFD6114578,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39757,972.6,N WESTERN INSHORE FISHERIES &,Business Support Community Services,Sampling & Inspection fees,GFD6114578,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39758,161873,North Country Leisure,Social Enterprise Admin,SLLT Payments,GLE0115594,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39759,6863.89,SOUTH LAKES HOUSING RENT A/C,Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,14/04/2014,39760,257,GLASDON UK LTD,Business Support Community Services,Sea Defences & Land Drainage,GFW3212014,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39760,6141.12,GLASDON UK LTD,Business Support Community Services,Equipment Furniture Materials,GTG3114170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39761,1000,KOLEK CONSULTING,Development Implementation,Economic Development Fund,GED0114051,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39767,418.5,MERITEC LTD,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,16/04/2014,39771,710,LIBERTY SERVICES,Social Enterprise Admin,Printing,GCK8114420,Highways & Transport Services
South Lakeland District Council,07/04/2014,39773,436.6,Masterstaff Limited,Social Enterprise Admin,Contract & Agency staff,GLC9111160,Central Services
South Lakeland District Council,07/04/2014,39776,1488.1,ROYAL MAIL GROUP PLC,Revenues and Benefits,General,ZHD1198021,SLDC as Agent
South Lakeland District Council,07/04/2014,39777,400,COLTON PARISH COUNCIL,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39778,350,SATTERTHWAITE PARISH COUNCIL,Policy & Partnerships,Contributions to Organisations,GCD7114863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,07/04/2014,39779,540.07,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,07/04/2014,39780,712.5,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,09/04/2014,39781,988.98,VENN GROUP RECRUITMENT SOLUTIONS,Financial Services,Contract & Agency staff,EFS2111160,Central Services
South Lakeland District Council,16/04/2014,39787,1200,KINGS CHAMBERS,Financial Services,Legal & Counsels Fees,ECL4314530,Central Services
South Lakeland District Council,16/04/2014,39789,2920,James Coles & Sons (Nurseries) Ltd,Social Enterprise Admin,Arboricultural Work,GPK6112008,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39791,705,DENNIS EAGLE LTD,Business Support Community Services,Purchase of Vehicles,KSC9123101,Central Services
South Lakeland District Council,14/04/2014,39792,154121,DENNIS EAGLE LTD,Business Support Community Services,Purchase of Vehicles,KSC9123101,Central Services
South Lakeland District Council,23/04/2014,39793,153111,DENNIS EAGLE LTD,Business Support Community Services,Purchase of Vehicles,KSC9123101,Central Services
South Lakeland District Council,16/04/2014,39794,1140,B & J METALS (SKIP HIRE) LTD,Social Enterprise Admin,Tipping & Disposal Charges,GPK6114573,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39796,970,MAIDEN MARINE LTD,Lake Wardens,Protective Clothing & Uniforms,GLW4114310,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39798,451,WICKSTEED LEISURE LTD,Social Enterprise Admin,Play Areas Maintenance,GPK6112009,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39803,2140,ARC4 LTD,Environment and Housing,Other Consultants,GEN0114556,Housing Services
South Lakeland District Council,09/04/2014,39806,9996.8,LAKELAND ESTATES (AMBLESIDE) LTD,Financial Services,General,ZHD2298021,SLDC as Agent
South Lakeland District Council,09/04/2014,39807,4413.75,KIRKLAND TRUST (KENDAL),Financial Services,General,ZHD2198021,SLDC as Agent
