Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,2525,-113714.3,1
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,2525,-2320.7,2
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,2525,-464.14,4
DCMS,ODA,06-Jun-12,Seconded Staff,Travel Demand Management,Department for Transport,71264,50281.71,1
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Department for Transport,71264,10056.34,2
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,71388,27165.6,1
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Village Vertical Development,Lend Lease Europe Ltd,71388,554.4,2
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,71388,110.88,4
DCMS,ODA,06-Jun-12,Site security,Control Room Upgrade SOC to POC & MPS,David Morley Architects,72072,38799.27,1
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,David Morley Architects,72072,7759.85,2
DCMS,ODA,06-Jun-12,Site security,Control Room Upgrade SOC to POC & MPS,David Morley Architects,72073,36212.48,1
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,David Morley Architects,72073,7242.5,2
DCMS,ODA,06-Jun-12,Seconded Staff,Staff Costs,Ove Arup & Partners Limited,72074,42050,1
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,72074,8410,2
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Athletes' Village Operate and Maintain Base Service,Lend Lease Europe Ltd,72228,1394244,1
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Athletes' Village Operate and Maintain Base Service,Lend Lease Europe Ltd,72228,928346,2
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,72228,464518,3
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,72231,167375,1
DCMS,ODA,06-Jun-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,72231,12019.43,2
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,72231,2403.89,4
DCMS,ODA,06-Jun-12,Holding Cost Payments,Triathlon Holding Costs Payment,Triathlon Homes LLP,72234,1309401.87,1
DCMS,ODA,06-Jun-12,Consultants,South Park Landscape Engineer,Ove Arup & Partners Limited,72248,30697.92,1
DCMS,ODA,06-Jun-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,72248,6139.58,2
DCMS,ODA,06-Jun-12,Grant Payable,Ruckholt Rd Bridge Grant Funding,London Borough of Waltham Forest,72415,688148.98,1
DCMS,ODA,06-Jun-12,Legal - Other,GTTV Legal costs,Berwin Leighton Paisner LLP,72440,75490,1
