Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,invoice number - delete,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,102922,15835,"15,574.68 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,102925,15838,"21,193.06 ",Building work - staff restaurant - Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,102991,15865,"51,118.52 ",Replacement compressor Kew Q2,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Records Storage Space Rental,Public Services,DEEPSTORE LTD,103320,15938,"37,722.71 ",Record storage space,CW7 2PA,,,,Programme
The National Archives,The National Archives,03/04/2014,Facilities Management,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104006,16104,"116,361.27 ",March Core Fees,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,03/04/2014,Grants paid,Information Policy & Services,Wiltshire Council,104011,16106,"40,000.00 ",Contribution to Wiltshire digitisation,BA14 8JN,,,,Programme
The National Archives,The National Archives,03/04/2014,IT hardware Additions,Technology & Preservation,ANS Group Plc,104057,16114,"31,879.75 ",IT hardware additions,M15 6SY,,,,Administration
The National Archives,The National Archives,03/04/2014,Furniture and Fittings,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104122,16130,"30,027.62 ",Purchase 110 chairs,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104215,16139,"50,449.17 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104220,16140,"393,672.13 ",Cooling towers Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104225,16141,"17,038.19 ",Cooling towers Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104234,16145,"10,164.48 ",Fire compartment upgrade,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104253,16150,"12,978.90 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104256,16152,"39,235.34 ",Building work - staff restaurant - Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104271,16157,"19,186.14 ",Building work,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104275,16148,"21,382.83 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104275,16148,"50,449.17 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104277,16160,"50,449.17 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104281,16160,"50,449.17 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104290,16162,"18,060.78 ",Fire alarm works,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104297,16165,"14,361.76 ",Pond work Kew,BN1 1HG,,,,Programme
