InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2017-01,1985515.31,4834.25,279525.82,1143794.55
2017-02,1261779.65,11149.12,50901.57,1137433.93
2017-03,1267493.87,4409.71,222849.84,492667.13
2017-04,1668896.21,4783,102391.31,530772.69
2017-05,1550428.99,4071,0,1393761.27
2017-06,1982093.09,4143.78,190880.21,315425.12
2017-07,1963665.23,4512.9,25162.71,1072827.29
2017-08,1556398,9141.63,5940.08,839077.7
2017-09,2289736.24,4146.1,227862.45,692916.2
2017-10,2019981.18,5841.05,22526.88,636719.64
2017-11,1686735,4187.02,7558.05,1075679.76
2017-12,2007416.99,4727,271184.98,929226.65
