Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Major works maintenance - HRA,Fencing Exmouth,07-Sep-2016,200031613,Cumbria Roofing Ulverston,"3,073.02"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,21-Sep-2016,200031761,Plumbing Trade Supplies,"2,227.78"
Barrow Borough Council,Disabled Facilities Grant,Grants,14-Sep-2016,200031640,David Tyson,641.20
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,21-Sep-2016,200031827,AB Mitchell Developments,"1,418.66"
Barrow Borough Council,Legal,Solicitors fees,21-Sep-2016,200031766,Brown Barron Solicitors,790.25
Barrow Borough Council,Playground,Equipment purchase,28-Sep-2016,200031882,Playdale Playgrounds Ltd,"1,210.06"
Barrow Borough Council,Off street car parking,AquaFund Fees,21-Sep-2016,200031809,Advanced Demand Side Management Ltd,638.48
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031813,DLP Services (Northern) Ltd,"41,898.71"
Barrow Borough Council,Psychic Sally - 23.3.16 & Oct 16,Professional fees,28-Sep-2016,200031910,Sally Morgan Entertainments,"5,000.00"
Barrow Borough Council,Insurance holding account,Insurance claims,21-Sep-2016,200031787,Zurich Insurance Group Ltd,784.45
Barrow Borough Council,Information technology,Professional fees,01-Sep-2016,200031521,CAE Technology Services,"4,750.00"
Barrow Borough Council,Major works maintenance - HRA,Repointing Walney,07-Sep-2016,200031626,Wrekin Windows,"2,779.27"
Barrow Borough Council,Barrow town hall,Electricity,07-Sep-2016,200031614,NPower,-500.14
Barrow Borough Council,Information technology,Data Line Rental,07-Sep-2016,200031588,Liberata Uk Ltd,784.46
Barrow Borough Council,Crematorium,Gas,07-Sep-2016,200031608,British Gas Business,"2,714.07"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031813,DLP Services (Northern) Ltd,"19,378.56"
Barrow Borough Council,Playground,Grounds maintenance,07-Sep-2016,200031565,EXECAST,685.00
Barrow Borough Council,Food safety,Professional fees,28-Sep-2016,200031900,Buckingham Futures Ltd,"1,032.40"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,14-Sep-2016,200031661,SBP Ltd - Permadoor,"3,396.47"
Barrow Borough Council,The park leisure centre,Equipment purchase,28-Sep-2016,200031857,DD Solutions,"1,080.00"
Barrow Borough Council,Licensing,Solicitors fees,21-Sep-2016,200031766,Brown Barron Solicitors,"2,740.50"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,28-Sep-2016,200031834,AB Mitchell Developments,"7,003.33"
Barrow Borough Council,Cost of collection,Council tax collection,07-Sep-2016,200031588,Liberata Uk Ltd,"68,805.91"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,07-Sep-2016,200031625,Diseno Associates Ltd,869.43
Barrow Borough Council,Disabled Facilities Grant,Grants,01-Sep-2016,200031532,Lee Bowron Glazing Ltd,"1,651.50"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,01-Sep-2016,200031501,Paul Cutcliffe,844.00
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031813,DLP Services (Northern) Ltd,"4,467.24"
Barrow Borough Council,Playground,Grounds maintenance,21-Sep-2016,200031729,Continental Landscapes Ltd,732.54
Barrow Borough Council,Parks and open spaces,Grounds maintenance,21-Sep-2016,200031729,Continental Landscapes Ltd,"4,115.66"
Barrow Borough Council,Emlyn Hughes house,Buildings repairs and maintenance,21-Sep-2016,200031817,K Salisbury etc Ltd,"3,908.80"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,14-Sep-2016,200031695,Plumbing Trade Supplies,"1,235.51"
Barrow Borough Council,Recycling,Recycling credits from contractor,14-Sep-2016,200031721,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Off street car parking,Buildings repairs and maintenance,01-Sep-2016,200031507,Gilmour Fabrications,"1,876.00"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,01-Sep-2016,200031547,Diseno Associates Ltd,"1,164.19"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,21-Sep-2016,200031735,Diseno Associates Ltd,871.23
Barrow Borough Council,Forum 28,Metered water,21-Sep-2016,200031826,United Utilities Water Plc,"3,064.31"
Barrow Borough Council,Information technology,Agency staff,14-Sep-2016,200031659,Hays Senior Finance,603.88
Barrow Borough Council,Emlyn Hughes house,Maintenance contracts - TSU,14-Sep-2016,200031677,Integral UK Ltd,800.00
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,21-Sep-2016,200031760,Rixonway Kitchens (Cum) Ltd,987.28
Barrow Borough Council,Coastal Communities Fund,Professional fees,01-Sep-2016,200031556,Peter Lewis,750.00
Barrow Borough Council,Cost of collection,Professional fees,07-Sep-2016,200031624,Capacity Grid,"5,839.50"
Barrow Borough Council,Technical services,Corporate health and safety,07-Sep-2016,200031576,SA Assoc Mngmt Training Co Ltd,"1,561.20"
Barrow Borough Council,The park leisure centre,Electricity,01-Sep-2016,200031537,NPower,"6,204.74"
Barrow Borough Council,Barrow town hall,Gas,07-Sep-2016,200031608,British Gas Business,619.15
Barrow Borough Council,Telephones Holding A/C,Telephone charges paid,01-Sep-2016,200031535,EE Ltd,"1,138.97"
Barrow Borough Council,HRA Estates,Grounds maintenance,21-Sep-2016,200031729,Continental Landscapes Ltd,"4,945.28"
Barrow Borough Council,The park leisure centre,Gas,07-Sep-2016,200031608,British Gas Business,"2,041.59"
Barrow Borough Council,Cylical maintenance - HRA,Painting,14-Sep-2016,200031697,George Jones & Son (Cum) Ltd,"4,288.10"
Barrow Borough Council,Crematorium,Maintenance contracts - venue,28-Sep-2016,200031896,PJ Combustions Solutions Ltd,886.00
Barrow Borough Council,Estates management,Buildings repairs and maintenance,21-Sep-2016,200031759,Bryan Moncur Ltd,950.00
Barrow Borough Council,Development control,Professional fees,01-Sep-2016,200031559,Cushman & Wakefield,"3,500.00"
Barrow Borough Council,Voids maintenance - HRA,Void repairs,14-Sep-2016,200031678,AB Mitchell Developments,"2,500.43"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,21-Sep-2016,200031827,AB Mitchell Developments,"8,877.68"
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,28-Sep-2016,200031864,FTS Fire & Secuirty Ltd,"1,087.00"
Barrow Borough Council,Forum 28,Gas,07-Sep-2016,200031608,British Gas Business,"1,066.93"
Barrow Borough Council,Playground,Equipment purchase,07-Sep-2016,200031620,Wicksteed Leisure Ltd,712.85
Barrow Borough Council,The park leisure centre,Maintenance contracts - venue,21-Sep-2016,200031829,Correct Flow Engineering Ltd,"1,801.30"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,14-Sep-2016,200031663,Dolphin Stairlifts Cumbria,"1,345.00"
Barrow Borough Council,Street cleansing,Street cleansing,14-Sep-2016,200031721,Biffa Waste Services Ltd,"78,762.55"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031813,DLP Services (Northern) Ltd,"59,515.13"
Barrow Borough Council,Forum 28,Buildings repairs and maintenance,21-Sep-2016,200031808,AB Ceilings (Cumbria) Ltd,"1,590.00"
Barrow Borough Council,Playground,Equipment purchase,07-Sep-2016,200031565,EXECAST,"2,308.00"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,14-Sep-2016,200031669,Sure Maintenance,"4,679.15"
Barrow Borough Council,Cylical maintenance - HRA,Gas works,14-Sep-2016,200031669,Sure Maintenance,"5,513.48"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,14-Sep-2016,200031695,Plumbing Trade Supplies,700.34
Barrow Borough Council,Capitalised Planned Maintenance,Heating,14-Sep-2016,200031695,Plumbing Trade Supplies,"1,468.38"
Barrow Borough Council,HRA administration,Professional fees,14-Sep-2016,200031672,DtL Creative Ltd,"4,150.00"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,21-Sep-2016,200031827,AB Mitchell Developments,"7,874.20"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,28-Sep-2016,200031842,Paul Cutcliffe,586.00
Barrow Borough Council,Public conveniences,Building cleaning,14-Sep-2016,200031714,Growing Concerns,"1,508.00"
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,07-Sep-2016,200031615,Ricoh UK Ltd,502.77
Barrow Borough Council,Coast protection,Professional fees,01-Sep-2016,200031519,Mott MacDonald Ltd,"2,895.00"
Barrow Borough Council,Finance Department,Professional fees,28-Sep-2016,200031914,Pricewaterhouse Coopers LLP,"2,000.00"
Barrow Borough Council,Barrow town hall,Metered water,21-Sep-2016,200031826,United Utilities Water Plc,793.68
Barrow Borough Council,Forum 28,Maintenance contracts - TSU,14-Sep-2016,200031677,Integral UK Ltd,980.00
Barrow Borough Council,Homeless families and dispersed accommodation - HRA,Furniture - dispersed accommodation,21-Sep-2016,200031763,George Jones & Son (Cum) Ltd,"1,040.80"
Barrow Borough Council,Regeneration,Other grants,28-Sep-2016,200031894,Kolek Consulting,"1,107.50"
Barrow Borough Council,Barrow park,Professional fees,14-Sep-2016,200031679,JC Blyth,"1,085.09"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,21-Sep-2016,200031827,AB Mitchell Developments,"4,352.79"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,21-Sep-2016,200031827,AB Mitchell Developments,"1,740.98"
Barrow Borough Council,Coast protection,CAPITA dbs fees,07-Sep-2016,200031600,Capita Business Services Limited,"2,674.49"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,07-Sep-2016,200031628,AB Mitchell Developments,638.79
Barrow Borough Council,Building control fee earning,Subscriptions,21-Sep-2016,200031793,Carlisle City Council,"1,445.00"
Barrow Borough Council,Forum 28,Gas,21-Sep-2016,200031772,Scottish Power,"1,454.65"
Barrow Borough Council,Playground,Equipment purchase,21-Sep-2016,200031801,Playdale Playgrounds Ltd,691.66
Barrow Borough Council,Barrow park,Grounds maintenance,28-Sep-2016,200031849,Peter H Smith Limited,871.50
Barrow Borough Council,Forum 28,AquaFund Fees,21-Sep-2016,200031809,Advanced Demand Side Management Ltd,"1,014.87"
Barrow Borough Council,Barrow town hall,Building cleaning,21-Sep-2016,200031815,Associated Cleaning Contractors,"4,154.92"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,14-Sep-2016,200031696,Keith Wilson Elec Con Ltd,"1,344.50"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,28-Sep-2016,200031905,SIG Trading Ltd,"2,498.49"
Barrow Borough Council,The markets,Electricity,07-Sep-2016,200031614,NPower,682.23
Barrow Borough Council,Emlyn Hughes house,Electricity,21-Sep-2016,200031805,NPower,892.09
Barrow Borough Council,Dock museum,Electricity,21-Sep-2016,200031805,NPower,"2,006.15"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,14-Sep-2016,200031678,AB Mitchell Developments,"3,322.74"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,07-Sep-2016,200031625,Diseno Associates Ltd,871.68
Barrow Borough Council,Craven house,Building cleaning,21-Sep-2016,200031815,Associated Cleaning Contractors,529.89
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,21-Sep-2016,200031824,PJ Smith (Garafix) Ltd,560.00
Barrow Borough Council,Conducting elections,Printing and stationery,21-Sep-2016,200031743,Democracy Counts Ltd,582.75
Barrow Borough Council,Major works maintenance - HRA,Adaptations,07-Sep-2016,200031628,AB Mitchell Developments,513.84
Barrow Borough Council,Dock museum,AquaFund Fees,21-Sep-2016,200031809,Advanced Demand Side Management Ltd,638.49
Barrow Borough Council,The park leisure centre,Chemicals,01-Sep-2016,200031493,Correct Flow Engineering Ltd,546.96
Barrow Borough Council,Registration of electors,Postage,21-Sep-2016,200031743,Democracy Counts Ltd,"3,006.38"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,28-Sep-2016,200031855,Keith Wilson Elec Con Ltd,"1,014.55"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,07-Sep-2016,200031574,Rexel UK Ltd,515.08
Barrow Borough Council,Forum 28,Electricity,21-Sep-2016,200031805,NPower,"3,772.86"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,07-Sep-2016,200031628,AB Mitchell Developments,"4,096.16"
Barrow Borough Council,Housing Benefits Admin,Professional fees,01-Sep-2016,200031505,Liberata Uk Ltd,"9,000.00"
Barrow Borough Council,Playground,Maintenance contracts - venue,21-Sep-2016,200031729,Continental Landscapes Ltd,625.00
Barrow Borough Council,Playground,Grounds maintenance,07-Sep-2016,200031565,EXECAST,"4,774.00"
Barrow Borough Council,Registration of electors,Printing and stationery,07-Sep-2016,200031573,Democracy Counts Ltd,"3,795.98"
Barrow Borough Council,Technical services,Corporate health and safety,07-Sep-2016,200031576,SA Assoc Mngmt Training Co Ltd,"3,649.00"
Barrow Borough Council,Cost of collection,Court fees,14-Sep-2016,200031709,HMCTS,"2,328.00"
Barrow Borough Council,Cost of collection,Professional fees,21-Sep-2016,200031822,Capacity Grid,"4,666.50"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031740,SIG Trading Ltd,"12,950.19"
Barrow Borough Council,Current assets - stocks,Postage stock,21-Sep-2016,200031730,Royal Mail,"1,191.77"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,14-Sep-2016,200031667,Hughes Brothers,"21,628.73"
Barrow Borough Council,Forum shop,TIC - third party income,21-Sep-2016,200031767,Stagecoach,"2,112.00"
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,01-Sep-2016,200031536,Redacted Information,"1,275.00"
Barrow Borough Council,Registration of electors,Postage,14-Sep-2016,200031688,Royal Mail,"1,002.56"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031820,SBP Ltd - Permadoor,"5,278.94"
Barrow Borough Council,Suspense accounts,Income suspense account,07-Sep-2016,200031575,Cum & Lancashire Comm Rehabilitation Co,"2,822.40"
Barrow Borough Council,The park leisure centre,Professional fees,14-Sep-2016,200031707,Ulverston Health Club,"2,046.00"
Barrow Borough Council,Capitalised Planned Maintenance,Roofs,21-Sep-2016,200031813,DLP Services (Northern) Ltd,"1,220.70"
Barrow Borough Council,Information technology,Computer hardware purchase,01-Sep-2016,200031521,CAE Technology Services,510.00
Barrow Borough Council,Registration of electors,Postage,07-Sep-2016,200031573,Democracy Counts Ltd,"5,102.29"
Barrow Borough Council,The park leisure centre,Electricity,01-Sep-2016,200031537,NPower,725.31
Barrow Borough Council,Food safety,Professional fees,07-Sep-2016,200031619,Your Best Option,723.78
Barrow Borough Council,Salthouse Road Depot,Electricity,01-Sep-2016,200031537,NPower,756.89
