Title:,Status of UK Biodiversity Action Plan priority habitats,,,
Year:,1999 to 2008,,,
Geography:,United Kingdom,,,
Units:,Priority habitats,,,
Source:,"Joint Nature Conservation Committee, the UK Biodiversity Partnership, Department for Environment, Food and Rural Affairs ",,,
URL:,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,
Nat. Statistic:,No,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,
Release Date:,03 April 2009,,,
Notes:,,,,
,,,,
4  UK BAP Priority Habitats,,,,
,,,,
,,,,
,1999,2002,2005,2008
Increasing (1999),5,1,0,0
Increasing (2002),2,6,0,0
Increasing (2005),3,3,10,2
Increasing (2008),0,0,0,7
Stable (1999),1,1,1,0
Stable (2002),6,6,1,1
Stable (2005),2,2,6,1
Stable (2008),2,2,2,9
Decreasing (1999),1,0,0,0
Decreasing (2002),16,17,4,2
Decreasing (2005),3,3,17,2
Decreasing (2008),2,2,2,19
Unknown,2,2,2,2
Total ,45,45,45,45
,,,,
"Known in 2002, 2005 and 2008",,,,
,,,,
,Earliest available assessment,Latest available assessment,,
Increasing,10,9,,
Stable,11,11,,
Decreasing,22,23,,
Unknown,2,2,,
Total increasing or stable,21,20,,
