CPS outcomes by principal offence category lincolnshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.0%,0,0.0%
B Offences Against The Person,105,79.5%,27,20.5%
C Sexual Offences,14,87.5%,2,12.5%
D Burglary,34,91.9%,3,8.1%
E Robbery,8,100.0%,0,0.0%
F Theft And Handling,153,94.4%,9,5.6%
G Fraud And Forgery,6,75.0%,2,25.0%
H Criminal Damage,29,87.9%,4,12.1%
I Drugs Offences,32,97.0%,1,3.0%
J Public Order Offences,86,88.7%,11,11.3%
K All Other Offences (excluding Motoring),24,92.3%,2,7.7%
L Motoring Offences,397,92.8%,31,7.2%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,891,89.7%,102,10.3%
