Department family,Entity,Date,Expense type,Supplier,Transaction number,Amount,Description,Supplier Post Code,,
Department of Health,NHS Business Services Authority,01/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"735,214,430.08",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"108,790,139.15",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,01/08/2016,Dental Contractors,Dental Services ,,,"178,764,752.00",Payments to Dental Contractors,,
Departmen of Health,NHS Business Services Authority,02/08/2016,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080070884,"20,964.72","Production, Personalization and",SS6 7UQ,
Departmen of Health,NHS Business Services Authority,02/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080071839,"24,730.72",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,02/08/2016,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080072228,"26,687.06",D YOUNG W/E 15/07/16,AL1 4ZX,
Department of Health,NHS Business Services Authority,02/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"426,136.70",Payments to Pharmacy Contractors,,
Department of Health,NHS Business Services Authority,03/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"773,001.56",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,05/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072014,"22,816.04",AC 0912819048,S49 1HQ,
Department of Health,NHS Business Services Authority,05/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"583,734.68",Payments to Pharmacy Contractors,,
Departmen of Health,NHS Business Services Authority,09/08/2016,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080072377,"33,577.78",D SPROATES W/E 22/07/16,AL1 4ZX,
Departmen of Health,NHS Business Services Authority,09/08/2016,Security Services Maintenance,Corporate Services,INTEGRATED HEALTH PROJECTS,0080072428,"66,371.20",BSA Task 5.20 Benton Warehouse; draft,HP2 7TR,
Departmen of Health,NHS Business Services Authority,09/08/2016,General Maintenance,NHS Protect,INTEGRATED HEALTH PROJECTS,0080072428,563.40,IHP CERT 58 TASK 5.06,HP2 7TR,
Departmen of Health,NHS Business Services Authority,12/08/2016,Statutory Payments,Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,0050032476,"1,149,819.60",PAYE JULY 16 BSA,NE98 1ZZ,
Departmen of Health,NHS Business Services Authority,12/08/2016,Statutory Payments,Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,0050032476,"331,420.66",PAYE JULY 16 EYU HOSTED,NE98 1ZZ,
Departmen of Health,NHS Business Services Authority,12/08/2016,Travel,Corporate Services,CLICK TRAVEL LIMITED,0050032480,"76,485.16",TRAVEL JULY 16,B1 1TT,
Departmen of Health,NHS Business Services Authority,12/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080071701,"36,850.47",AC 0912819049,S49 1HQ,
