CPS outcomes by principal offence category derbyshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0.0%,2,100.0%
B Offences Against The Person,211,80.8%,50,19.2%
C Sexual Offences,19,82.6%,4,17.4%
D Burglary,34,89.5%,4,10.5%
E Robbery,21,87.5%,3,12.5%
F Theft And Handling,210,92.9%,16,7.1%
G Fraud And Forgery,12,92.3%,1,7.7%
H Criminal Damage,72,85.7%,12,14.3%
I Drugs Offences,69,98.6%,1,1.4%
J Public Order Offences,62,83.8%,12,16.2%
K All Other Offences (excluding Motoring),72,88.9%,9,11.1%
L Motoring Offences,191,91.0%,19,9.0%
Admin Finalisations,0,0.0%,4,100.0%
TOTAL,973,87.7%,137,12.3%
