Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,115,109.39,314,302.97,678,653.94,649,620.55,171,166.06,0,0,1927,1852.91,167,166.4,0,0,78,74.57,48,45.78,293,286.75,2220,2139.66,"£6,694,522","£83,378","£28,418","£21,233","£1,399,820","£621,661","£8,849,033","£2,113,074","£376,843","£2,489,917","£11,338,950",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,288,269.96,200,197.43,1436,1394.49,278,273.35,94,91.12,0,0,2296,2226.35,205,205,9,9,6,6,0,0,220,220,2516,2446.35,"£7,274,971","£269,635",£0,"£16,020","£974,514","£691,641","£9,226,781","£1,391,265","£710,292","£2,101,557","£11,328,338",
Health & Social Care Information Centre,Special Health Authority,Department of Health,93,80.1,327,311.8,561,539,987,960.5,172,159.3,0,0,2140,2050.7,59,51.1,0,0,83,82,0,0,142,133.1,2282,2183.8,"£7,729,704","£96,288",£0,"£8,275","£1,026,788","£702,402","£9,563,456","£1,310,442","£205,821","£1,516,263","£11,079,719",
Health Education England,Executive Non-Departmental Public Body,Department of Health,77,68.86,531,490.85,485,439.74,333,309.78,931,346.69,0,0,2357,1655.92,163.81,136.98,2,2,9.92,0.41,7,0.12,182.73,139.51,2539.73,1795.43,"£6,031,938","£639,847",£0,£0,"£734,470","£529,765","£7,936,019","£646,996","£18,134","£665,130","£8,601,149",
Health Research Authority,Special Health Authority,Department of Health,7,5.29,71,66.48,23,19.38,25,22.96,3,2.6,0,0,129,116.71,15,10.33,1,0.75,0,0,0,0,16,11.08,145,127.79,"£357,215",£0,£0,"£4,424","£39,449","£29,520","£430,607","£37,210","£4,627","£41,837","£472,444",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,20,16.53,32,30.49,8,7.2,4,4,0,0,64,58.22,2,2,0,0,1,1,0,0,3,3,67,61.22,"£212,413",£313,£0,£0,"£42,756","£20,192","£275,674","£24,187",£0,"£24,187","£299,861",The HFEA currently has 4 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,8,8,22,21.6,7,6.8,5,4.23,0,0,44,42.63,0,0,0,0,0,0,0,0,0,0,44,42.63,"£157,084",£0,£0,£0,"£17,839","£15,377","£190,300",£0,"£4,237","£4,237","£194,537",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,105,99.81,199,191.5,451,438.75,326,316.34,150,135.63,0,0,1231,1182.030573,35,33.1,3,3,5,3.1,0,0,43,39.2,1274,1221.23,"£4,416,554","£53,252","£14,250","£17,291","£832,455","£417,171","£5,750,973","£307,421",£0,"£307,421","£6,058,395",
Monitor,Executive Non-Departmental Public Body,Department of Health,19,19,40,39.38,63,61.9,180,174.81,45,44.7,0,0,347,339.79,8,8,29,24.8,11,9.8,0,0,48,42.6,395,382.39,"£1,788,684",£0,£0,£0,"£377,134","£187,459","£2,353,277","£533,153","£1,656,090","£2,189,243","£4,542,520",
National Institute for Health and Care Excellence,Special Health Authority,Department of Health,8,7.47,85,81.95,227,212.87,191,179.27,56,50,5,4.6,572,536.16,13,11,0,0,39,34.25,0,0,52,45.25,624,581.41,"£1,977,754","£13,569",£0,£0,"£256,811","£183,268","£2,431,402","£393,385",£0,"£393,385","£2,824,787",
