Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",59,52.2,262,238.7,497,455.3,38,35.7,3,3,2,1.2,861,786,16,16,0,0,0,0,4,4,20,20,881,806,"£2,553,555.00","£15,850.34",£0.00,"£21,484.11","£442,536.89","£214,212.21","£3,247,638.55","£48,252.25","£86,816.57","£135,068.82","£3,382,707.37",,
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",5,4.88,35,33.38,51,48.36,12,11.79,4,3.1,,,107,102,1,1,,,10,10,,,11,11,118,113,"£278,085.00","£4,451.00",,,"£69,998.00","£20,526.00","£373,060.00","£103,583.07",,"£103,583.07","£476,643.07",,
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",197,177.6,311,290.44,708,665.79,197,181.99,42,40.37,,,"1,455","1,356",7,7,1,1,1,1,1,0.2,10,9.2,"1,465","1,365","£4,101,541.15","£82,423.21",£263.00,"£31,895.96","£1,054,844.45","£347,876.86","£5,618,844.63","£22,332.50","£10,000.00","£32,332.50","£5,651,177.13",,
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",155,147.35,392,380.38,1155,1130.51,1184,1141.71,213,204.81,0,0,"3,099","3,005",66,66,6,6,52,52,55,55,179,179,"3,278","3,184","£11,440,031.62","£302,450.65","£132,824.00","£64,353.66","£2,254,069.04","£1,024,642.19","£15,218,371.16","£3,598,617.00","£5,115,470.00","£8,714,087.00","£23,932,458.16",Included Headcount and Salary data for UKTI.,Non payroll (contingent labour and consultancy) costs are credits
Companies House ,CH,"Department for Business, Innovation & Skills",455,397,248,235,135,131,28,27,4,4,,,870,794,,,,,,,21,21,21,21,891,815,"£1,719,118.49","£28,276.02",,"£38,870.11","£317,940.36","£124,174.06","£2,228,379.04",,"£217,315.99","£217,315.99","£2,445,695.03",,
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.888,6,5.6,3,3,1,1,,,15,14,,,,,,,,,0,0,15,14,"£52,048.00",,,,"£10,817.81","£4,652.88","£67,518.69","£3,793.50",,"£3,793.50","£71,312.19",Provide IT support to the team for the IT Infrastructure Upgrade,
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",423,393.16,629,616.55,326,319.91,22,22,5,5,0,0,"1,405","1,357",37,29.59,3,0.75,63,47.47,9,2.23,112,80.04,"1,517","1,437","£3,465,279.49","£178,041.91","£471,286.00","£33,050.33","£465,536.40","£349,681.89","£4,962,876.02","£438,968.53","£15,475.64","£454,444.17","£5,417,320.19",,
Economic & Social Research Council,ESRC,"Department for Business, Innovation & Skills",13,10.66,34,32.29,76,73.75,17,16.91,3,2.95,,,143,137,2,2,,,,,,,2,2,145,139,"£368,553.00","£2,912.00",,,"£92,890.00","£30,004.00","£494,359.00","£4,158.00",,"£4,158.00","£498,517.00",,
