CPS outcomes by principal offence category Gwent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,110,79.10%,29,20.90%
C Sexual Offences,2,25.00%,6,75.00%
D Burglary,22,84.60%,4,15.40%
E Robbery,5,100.00%,0,0.00%
F Theft And Handling,153,96.80%,5,3.20%
G Fraud And Forgery,5,100.00%,0,0.00%
H Criminal Damage,43,91.50%,4,8.50%
I Drugs Offences,53,86.90%,8,13.10%
J Public Order Offences,69,92.00%,6,8.00%
K All Other Offences (excluding Motoring),28,87.50%,4,12.50%
L Motoring Offences,226,95.80%,10,4.20%
Admin Finalisations,0,0.00%,8,100.00%
TOTAL,716,89.50%,84,10.50%
