Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"99,416.42",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER AMBULANCE SERVICES,DIR STRATEGY AND PERFORMANCE,AMVALE MEDICAL TRANSPORT LTD,"25,868.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,MINOR CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,B BRAUN MEDICAL LTD.,"44,604.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/12/2011,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,BROOK AND MAYO LTD,"85,750.34",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,WAN USAGE,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,BT GLOBAL SERVICES,"86,467.14",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"25,905.73",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"26,202.73",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"43,594.58",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"95,605.19",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"93,217.44",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"95,605.20",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,DALKIA UTILITIES SERVICES PLC,"43,594.58",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"32,410.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,HAEMOPHILLIA BLOOD PRODUCTS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"132,989.42",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"123,337.50",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"27,885.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,HEALTHCARE AT HOME,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"65,498.04",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"84,117.60",Dec-11
