A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 7/4/2016 11:03:31 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,ANS GROUP PLC,12962247,"212,311.87",628731622,1003067,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13252915,"(27,617.30)",879108291,HT000024056,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13252916,"48,727.21",879108291,HT000024057,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,13252916,"3,032.00",879108291,HT000024057,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,13229050,"52,310.00",,8429050,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,13229055,"52,310.00",,8429051,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,13229061,"52,310.00",,8429052,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,13065822,"208,971.22",,254719,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12915005,"65,882.00",,79752,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Computer Software/License,ADHOC BUSINESS,BDS SOLUTIONS,12816770,"29,042.95",631215482,15835,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,12915061,"27,706.00",,I0148988,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12980915,"102,775.85",,58068,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12980928,"102,775.85",,58069,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12980939,"95,454.52",,58065,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12980949,"95,454.52",,58066,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,12980958,"95,454.52",,58067,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13213550,"105,229.40",,53971,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13228612,"87,934.51",,57500,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13228630,"84,098.43",,57501,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,13284166,"102,775.85",,58070,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,13261320,"37,679.27",,15364,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13277045,"949,500.00",,70017349,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Miscellaneous Expenditure (L9),COMMISSIONING SCHEMES,CANTERBURY WAY SURGERY,13276873,"65,076.00",,CHAPROCT161,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Computer Hardware Purch,CCG-IT PROGRAMME,CCS MEDIA LTD,12845420,"43,605.42",385123454,2508074,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,12961456,"26,916.66",654915415,52756804,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Computer Software/License,IM&T,CISILION LTD,12817362,"39,463.49",765633407,INV004170,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,12731534,"20,668,621.00",,4128754,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,EAST AND NORTH HERTFORDSHIRE NHS TRUST,12915307,"30,562.00",,4129310,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,13127570,"44,536.00",,4128846,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,13261715,"51,913.00",,4129804,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Prior Year,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,12915370,"(154,958.64)",,838294,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,13050400,"1,373,290.05",,838305,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,12961400,"77,713.93",,X0154845,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,12961186,"27,646.00",654923417,3190902,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,12961225,"33,834.00",654923417,3191511,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,12961342,"116,825.00",654923417,3192568,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,12869065,"46,882.67",,28014695,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,12869073,"3,251,233.98",,28014679,
Department of Health,NHS East & North Hertfordshire CCG,30/06/2016,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,13157204,"613,356.08",,28014806,
