Department,Entity,Transaction Date, Supplier Name, Amount, Expense Type, Expense Area, Invoice Description, Component Code
DFID,DFID,03/09/2012,Hays Specialist Recruitment Ltd ,£612,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,,100084-101 
DFID,DFID,03/09/2012,NatCen Learning ,£650,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,,101611-101 
DFID,DFID,03/09/2012,ANDREW WEIR SHIPPING LTD ,"£1,698",Other passenger transport ,Asia  Caribbean and Overseas Territories ,,201739-101 
DFID,DFID,03/09/2012,ANDREW WEIR SHIPPING LTD ,"£1,698",Other passenger transport ,Asia  Caribbean and Overseas Territories ,,201739-101 
DFID,DFID,03/09/2012,SAINT HELENA NATIONAL TRUST ,"£5,125",Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,,201049-101 
DFID,DFID,03/09/2012,Andrew Rogers (Self Employed) ,"£21,339",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,202083-101 
DFID,DFID,03/09/2012,GHK CONSULTING LTD ,"£110,369",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,114168-101 
DFID,DFID,04/09/2012,TURNER & TOWNSEND ,"£2,405",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,100151-101 
DFID,DFID,04/09/2012,Elias Ahmed ,"£2,648",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,107448-103 
DFID,DFID,04/09/2012,Coffey International Development Pty Ltd ,"£26,140",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,202832-103 
DFID,DFID,04/09/2012,Coffey International Development Pty Ltd ,"£26,457",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,202832-103 
DFID,DFID,04/09/2012,Surja Setu Samaj Kallyan Sangstha ,"£40,141",Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,,113287-102 
DFID,DFID,05/09/2012,Hays Specialist Recruitment Ltd ,£589,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,,100084-101 
DFID,DFID,05/09/2012,Saimon Overseas Ltd ,£890,Air fares ,Asia  Caribbean and Overseas Territories ,,101603-102 
DFID,DFID,05/09/2012,BRITISH HIGH COMMISSION ,£906,Subscriptions ,Asia  Caribbean and Overseas Territories ,,100113-101 
DFID,DFID,05/09/2012,BRITISH HIGH COMMISSION ,£906,Subscriptions ,Asia  Caribbean and Overseas Territories ,,100113-101 
DFID,DFID,05/09/2012,Habitat World ,"£1,765",Conferences  Seminars & Meeting/Event Resource ,Asia  Caribbean and Overseas Territories ,,114487-103 
DFID,DFID,05/09/2012,Amarchand & Mangaldas & Suresh A Shroff & Co. ,"£3,964",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,114293-102 
DFID,DFID,05/09/2012,CB RICHARD ELLIS SOUTH ASIA PVT LTD ,"£5,755",Facilities Management payments ,Asia  Caribbean and Overseas Territories ,,201689-105 
DFID,DFID,05/09/2012,TURNER & TOWNSEND ,"£9,360",Repairs  Maint  Alter - Property & Constrct. Services ,Asia  Caribbean and Overseas Territories ,,202083-101 
DFID,DFID,05/09/2012,British Council India ,"£9,500",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,201642-101 
DFID,DFID,05/09/2012,N D Hearnden ,"£13,943",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,202083-101 
DFID,DFID,05/09/2012, The Government of India ,"£18,374",Aid Programme - Other Financial Aid to Government ,Asia  Caribbean and Overseas Territories ,,113617-101 
DFID,DFID,05/09/2012,MOTT MACDONALD LTD ,"£26,857",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,203390-101 
DFID,DFID,05/09/2012,TURNER & TOWNSEND ,"£36,793",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,201652-105 
DFID,DFID,05/09/2012,DELOITTE TOUCHE TOHMATSU INDIA PRIVA ,"£43,081",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,108070-101 
DFID,DFID,05/09/2012,HTSPE LTD ,"£46,412",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,114058-101 
DFID,DFID,05/09/2012,TURNER & TOWNSEND ,"£145,173",Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,,100114-104 
DFID,DFID,05/09/2012, The Government of India ,"£1,252,636",Aid Programme - Other Financial Aid to Government ,Asia  Caribbean and Overseas Territories ,,108027-102 
DFID,DFID,06/09/2012,QAI India Ltd. ,£503,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,,100025-105 
DFID,DFID,06/09/2012,Hays Specialist Recruitment Ltd ,£612,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,,100084-101 
DFID,DFID,06/09/2012,Hays Specialist Recruitment Ltd ,£665,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,,100084-101 
DFID,DFID,06/09/2012,Summit Hotel Pvt Ltd ,"£1,168",Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,,100150-101 
