,Number of farms in sample,Agriculture: Crop output (excluding subsidies) £ per Farm,Agriculture: Livestock output (excluding subsidies and payments to agriculture) £ per Farm,Agriculture: Subsidies and payments to agriculture £ per Farm,Agriculture: Miscellaneous output (including agricultural work done on other farms) £ per Farm,Agriculture: crop specific costs £ per Farm,Agriculture: livestock specific costs £ per Farm,Agriculture: Contract costs £ per Farm,Agriculture: Casual labour £ per Farm,Agriculture: Miscellaneous variable costs (including agricultural work done on other farms) £ per Farm,Agriculture: Regular labour £ per Farm,Agriculture: Machinery costs £ per Farm,Agriculture: Depreciation of glasshouses & permanent crops £ per Farm,Agriculture: General farming costs £ per Farm,Agriculture: Land and property costs £ per Farm,Agriculture: Miscellaneous fixed costs (including for work done on other farms) £ per Farm,Agriculture share of farm business income £ per Farm,Agri-environment and Other Payments: Total Output £ per Farm,Agri-environment and Other Payments: Variable costs £ per Farm,Agri-environment and Other Payments: Labour costs £ per Farm,Agri-environment and Other Payments: Machinery costs £ per Farm,Agri-environment and Other Payments: General farming costs (including share of interest) £ per Farm,Agri-environment and Other Payments: Land and property costs £ per Farm,Agri-environment share of farm business income £ per Farm,Diversification out of Agriculture: Total Output £ per Farm,Diversification out of Agriculture: Variable costs £ per Farm,Diversification out of Agriculture: Labour costs £ per Farm,Diversification out of Agriculture: Machinery costs and capital costs £ per Farm,Diversification out of Agriculture: General farming costs (including share of interest) £ per Farm,Diversification out of Agriculture: Land and property costs £ per Farm,Diversification out of Agriculture: Diversified share of farm business income £ per Farm,Single Payment Scheme: Total Output £ per Farm,Single Payment Scheme: Variable Costs £ per Farm,Single Payment Scheme: Fixed Costs £ per Farm,Single Payment Scheme: SPS share of farm business income £ per Farm,Farm Business: Total Output £ per Farm,Farm Business: Variable costs £ per Farm,Farm Business: Fixed costs £ per Farm,Farm Business: Profit/(loss) on sale of fixed assets £ per Farm
2012/13 Part-Time ,48,"10,100","22,900",500,"2,200","5,000","9,000","3,600",600,200,"2,200","10,700",0,"6,900","4,900","1,200","-8,800","2,900",10,27,54,200,200,"2,300","8,000",400,26,400,"1,800","1,200","4,200","12,300",3,"1,500","10,800","58,800","18,800","31,400",-73
2013/14 Part-Time ,53,"8,600","25,900",300,"3,300","5,400","10,600","3,200",300,80,"1,600","11,800",0,"7,500","4,700","1,700","-8,500","2,400",13,11,21,100,500,"1,800","9,000",400,100,"1,000","1,400","1,300","4,800","11,900",3,"1,400","10,600","61,500","20,000","33,100",200
2012/13 Small ,95,"7,500","43,700",200,"6,500","5,800","17,900","4,400",600,73,"1,700","14,500",0,"8,700","6,300","3,500","-5,400","3,600",19,3,65,200,400,"3,000","9,600",700,"1,100",800,"1,700","2,100","3,300","14,000",3,"1,500","12,600","85,100","29,500","42,400",300
2013/14 Small ,96,"7,600","45,600",0,"6,300","6,500","19,400","5,100",800,80,"2,100","15,300",0,"10,100","6,700","2,900","-9,200","4,200",45,10,45,300,400,"3,400","8,900",700,700,600,"1,600","1,600","3,700","14,400",4,"1,500","12,900","86,900","32,600","43,800",300
2012/13 Medium,56,"12,300","80,100","1,000","6,100","10,400","33,900","5,900","1,400",100,"5,000","20,400",0,"11,800","9,300","3,400","-1,300","5,500",30,2,52,300,500,"4,700","6,700",200,200,400,"1,300","1,300","3,400","18,800",2,"1,700","17,200","130,600","52,100","55,500",900
2013/14 Medium ,59,"14,300","81,300",200,"5,600","10,900","35,100","5,900","1,500",16,"5,200","21,400",7,"13,500","9,600","2,800","-4,100","6,500",38,0,58,300,800,"5,300","5,700",100,200,300,800,900,"3,400","20,200",2,"1,800","18,300","133,700","53,700","57,700",600
2012/13 Large ,86,"32,900","162,200",200,"4,900","23,400","76,800","10,700","3,300",700,"13,600","39,800",0,"18,600","20,700","3,200","-9,500","10,300",400,41,66,300,"1,000","8,400","11,300",600,400,"1,200","1,200","1,400","6,600","36,800",3,"3,200","33,600","258,600","115,800","104,900","1,100"
2013/14 Large ,92,"31,600","170,300",500,"7,000","22,200","80,500","11,700","3,500",300,"13,100","40,300",0,"19,200","22,200","3,900","-6,700","10,400",200,300,88,500,"1,300","8,000","11,300",400,100,"1,200","1,000","2,300","6,200","35,900",6,"3,600","32,400","267,200","118,900","109,000",600
2012/13 All Sizes,285,"12,800","55,600",400,"4,300","8,500","24,200","5,100","1,100",200,"4,000","17,100",0,"9,700","8,100","2,400","-7,000","4,500",64,19,58,200,400,"3,700","8,700",500,400,600,"1,600","1,500","4,200","17,000",3,"1,700","15,300","103,400","39,600","47,900",300
2013/14 All Sizes,300,"12,000","57,100",200,"4,900","8,600","25,200","5,200","1,000",100,"3,700","17,700",1,"10,500","8,100","2,500","-7,900","4,500",54,44,41,200,600,"3,500","8,800",500,300,800,"1,300","1,500","4,500","16,700",3,"1,700","15,000","104,300","40,600","49,000",300
Totals and percentages may differ due to rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where a cell is blank this indicates there are too few observations in the sample to give reliable estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
