No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Transfer CASEY,Stage 2 - Total,Stage 3 - Transfer KIMMINS,Stage 3 - Total,"Stage 4 - Exclusion MALONE, LOWRY",Stage 4 - Total,Stage 5 - Transfer HARTE,Stage 5 - Total,Stage 6 - Transfer HYLAND,Stage 6 - Total,Stage 7 - Exclusion DUFFY,Stage 7 - Total,,,,,,,,,,,,,,,,,,,
1,CASEY,,SINN FÉIN,Elected - Stage 1,1693.00,-433.00,1260.00,0.00,1260.00,0.00,1260.00,0.00,1260.00,0.00,1260.00,0.00,1260.00,,,,,,,,,,,,,,,,,,,
2,DUFFY,,SDLP,Excluded - Stage 6,555.00,109.00,664.00,57.63,721.63,70.00,791.63,7.68,799.31,10.20,809.51,-809.51,0.00,,,,,,,,,,,,,,,,,,,
3,HARTE,,VALARIE,Elected - Stage 1,1300.00,0.00,1300.00,0.00,1300.00,0.00,1300.00,-40.00,1260.00,0.00,1260.00,0.00,1260.00,,,,,,,,,,,,,,,,,,,
4,HYLAND,,INDEPENDENT,Elected - Stage 3,1045.00,157.00,1202.00,94.35,1296.35,0.00,1296.35,0.00,1296.35,-36.35,1260.00,0.00,1260.00,,,,,,,,,,,,,,,,,,,
5,KIMMINS,,SINN FÉIN,Elected - Stage 1,1567.00,0.00,1567.00,-307.00,1260.00,0.00,1260.00,0.00,1260.00,0.00,1260.00,0.00,1260.00,,,,,,,,,,,,,,,,,,,
6,LOWRY,,UUP,Excluded - Stage 3,384.00,3.00,387.00,1.53,388.53,-388.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
7,MALONE,,,Excluded - Stage 3,41.00,7.00,48.00,7.14,55.14,-55.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
8,MCATEER,,SDLP,Elected - Stage 7,629.00,86.00,715.00,49.47,764.97,47.06,812.03,8.24,820.27,12.24,832.51,321.00,1153.51,,,,,,,,,,,,,,,,,,,
9,MCEVOY,,SDLP,Excluded - Stage 7,664.00,25.00,689.00,78.03,767.03,37.03,804.06,4.48,808.54,8.67,817.21,97.00,914.21,,,,,,,,,,,,,,,,,,,
10,STOKES,,SDLP,Elected - Stage 7,938.00,43.00,981.00,17.34,997.84,73.00,1070.84,16.08,1086.92,5.10,1092.02,130.00,1222.02,,,,,,,,,,,,,,,,,,,
Non transferable,,,,,,3.00,3.00,1.51,4.51,216.58,221.09,3.52,224.61,0.14,224.75,261.51,486.26,,,,,,,,,,,,,,,,,,,
Totals,,,,,8816.00,,8816.00,,8816.00,,8816.00,,8816.00,,8816.00,,8816.00,,,,,,,,,,,,,,,,,,,
