Organisation,Merchant,MCC,Date Posted,Settlement Amount,Description
HEALTH & SAFETY EXECUTIVE ,WP-BRITISH OCCUPAT,8398,02/03/2012,£600.00,Training Event
HEALTH & SAFETY EXECUTIVE ,BRITISH OCCUPATIONAL H,8398,09/03/2012,"£2,520.00",Training Event
HEALTH & SAFETY EXECUTIVE ,CHILWORTH HOLDINGS,8244,14/03/2012,"£1,008.90",Training Event
HEALTH & SAFETY EXECUTIVE ,IIA - UK & IRELAND,8999,14/03/2012,"£1,353.00",Training Event
HEALTH & SAFETY EXECUTIVE ,NAT SCHOOL OF GOVERNME,9399,14/03/2012,£925.00,Training Event
HEALTH & SAFETY EXECUTIVE ,WWW.TCC-NET.COM,8249,16/03/2012,"£1,050.00",Training Event
HEALTH & SAFETY EXECUTIVE ,PETROFAC TRAINING LTD,8299,19/03/2012,"£2,235.60",Training Event
HEALTH & SAFETY EXECUTIVE ,WESTIN HOTELS RESORT AND,3513,14/03/2012,£776.27,World Health Organisation Event
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,01/03/2012,"£1,846.73",Computer Consumables
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,02/03/2012,£529.04,Computer Consumables
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,09/03/2012,£721.37,Computer Consumables
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,16/03/2012,"£1,140.24",Computer Consumables
HEALTH & SAFETY EXECUTIVE ,N Y S CORPORATE,4722,05/03/2012,"£3,404.52",Training Venue
HEALTH & SAFETY EXECUTIVE ,DOD`S PARLIAMENTARY CO,7399,08/03/2012,"£10,200.00",Training Event
HEALTH & SAFETY EXECUTIVE ,LEADERSHIP TRUST FOUND,5999,13/03/2012,"£6,960.00",Training Event
HEALTH & SAFETY EXECUTIVE ,LEADERSHIP TRUST FOUND,5999,13/03/2012,"£6,960.00",Training Event
HEALTH & SAFETY EXECUTIVE ,LEADERSHIP TRUST FOUND,5999,13/03/2012,"£6,960.00",Training Event
HEALTH & SAFETY EXECUTIVE ,LEADERSHIP TRUST FOUND,5999,13/03/2012,"£6,960.00",Training Event
HEALTH & SAFETY EXECUTIVE ,LEADERSHIP TRUST FOUND,5999,13/03/2012,"£6,960.00",Training Event
HEALTH & SAFETY EXECUTIVE ,ABB LIMITED,8911,15/03/2012,"£1,194.00",Training Event
HEALTH & SAFETY EXECUTIVE ,PETROFAC TRAINING LTD,8299,15/03/2012,£885.74,Training Event
HEALTH & SAFETY EXECUTIVE ,WWW.TWI.CO.UK,7392,15/03/2012,"£5,245.20",Training Venue
HEALTH & SAFETY EXECUTIVE ,I.O.M COMMUNICATIONS L,5969,16/03/2012,"£1,478.40",Training Event
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,13/03/2012,"£1,048.99",Computer Consumables
HEALTH & SAFETY EXECUTIVE ,XMA LTD,7372,15/03/2012,"£1,229.24",Computer Consumables
HEALTH & SAFETY EXECUTIVE ,CITB,8220,09/03/2012,"£13,873.20",External Training Event
HEALTH & SAFETY EXECUTIVE ,CITB,8220,09/03/2012,"£4,356.00",External Training Event
HEALTH & SAFETY EXECUTIVE ,PAYPAL  DATASOLUTIO,8999,14/03/2012,£527.29,External Training Event
