CPS outcomes by principal offence category Warwickshire October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.00%,0,0.00%
B Offences Against The Person,85,90.40%,9,9.60%
C Sexual Offences,3,75.00%,1,25.00%
D Burglary,14,100.00%,0,0.00%
E Robbery,5,100.00%,0,0.00%
F Theft And Handling,82,95.30%,4,4.70%
G Fraud And Forgery,8,100.00%,0,0.00%
H Criminal Damage,25,92.60%,2,7.40%
I Drugs Offences,29,100.00%,0,0.00%
J Public Order Offences,42,91.30%,4,8.70%
K All Other Offences (excluding Motoring),28,90.30%,3,9.70%
L Motoring Offences,291,95.40%,14,4.60%
Admin Finalisations,0,0.00%,3,100.00%
TOTAL,615,93.90%,40,6.10%
