Wales 1.02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 1.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Level of agreement with positive statements about online communications, by nation",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom research, ‘Connected Devices’, May 2015Base: All online adults aged 16+  (n=2290), England (n=1879), Scotland (n=200), Wales (n=113), Northern Ireland (n=98).Q115. How much do you agree or disagree with the following statements?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,Agree ,Neutral,Disagree,Don't know,,,,,,,,,,,,,
Technology has changed the way I communicate,69%,20%,7%,4%,,,,,,,,,,,,,
Being online is invaluable in keeping me up-to-date and informed about current affairs and/or social issues,64%,21%,11%,4%,,,,,,,,,,,,,
Being online is invaluable in keeping me close to/in touch with friends and family,60%,24%,13%,2%,,,,,,,,,,,,,
New communications methods have made life easier,59%,28%,9%,4%,,,,,,,,,,,,,
"Being online inspires me to try new things: travel, new restaurants or recipes, new experiences or entertainment",52%,26%,19%,4%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wales 1.03,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 1.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Level of agreement with negative statements about online communications, by nation",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Source: Ofcom research, ‘Connected Devices’, May 2015Base: All online adults aged 16+  (n=2290), England (n=1879), Scotland (n=200), Wales (n=113), Northern Ireland (n=98).Q115 How much do you agree or disagree with the following statements?",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,Agree ,Neutral,Disagree,Don't know,,,,,,,,,,,,,
Being online interrupts face-to-face conversations with friends and family,51%,23%,22%,4%,,,,,,,,,,,,,
I spend too much time online compared to time with my friends and family,20%,29%,48%,3%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wales 1.04,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Figure 1.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Methods of communicating with friends and family: once a week or more often, by nation",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
