CPS outcomes by principal offence category gwent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,110,77.0%,41,23.0%
C Sexual Offences,10,84.6%,2,15.4%
D Burglary,45,80.6%,8,19.4%
E Robbery,0,66.7%,0,33.3%
F Theft And Handling,153,93.5%,6,6.5%
G Fraud And Forgery,12,91.7%,2,8.3%
H Criminal Damage,43,83.0%,7,17.0%
I Drugs Offences,75,96.2%,5,3.8%
J Public Order Offences,74,95.0%,14,5.0%
K All Other Offences (excluding Motoring),23,94.9%,6,5.1%
L Motoring Offences,220,92.0%,54,8.0%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,765,83.2%,155,16.8%
