Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,IT Support and Maintenance,Computer Services,Mckesson Information Solutions Uk Ltd,413032,83695.50
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Bank Staff ,Hospital Wide,Nhs Professionals Ltd,410771,78066.23
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Laundry Contract,Environmental Services,Sunlight Services Group Ltd,414806,39117.56
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Car Parking,Environmental Services,Mitie Cleaning & Support Service Ltd,415089,2228.05
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Domestic Services,Environmental Services,Mitie Cleaning & Support Service Ltd,415089,252940.91
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Portering Service,Environmental Services,Mitie Cleaning & Support Service Ltd,415089,119406.32
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,415089,60725.71
Department of Health,North Middlesex University Hospital NHS Trust,02-Dec-11,Help Desk,Environmental Services,Mitie Cleaning & Support Service Ltd,415089,3398.71
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,GP Staff,A&E,Barndoc Healthcare,414101,59991.03
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,416937,59985.88
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,414187,55699.29
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,Design Fees,Hospital Development,Cyril Sweett Ltd,416785,54295.06
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,Drugs,Pharmacy,Roche Products Ltd,413387,41208.30
Department of Health,North Middlesex University Hospital NHS Trust,07-Dec-11,Professional Services,Environmental Services,Drivers Jonas Deloitte,417195,28224.00
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Catering Contract,Environmental Services,Medirest - Compass Group Uk & Ireland,417588,145097.45
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Blood & Blood Products,Pathology,Nhs Blood & Transplant,417849,85665.72,,
