Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,2816956,"28,427.09",,1250813REC
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,2817003,"43,038.45",,1250913REC
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,2817069,"95,555.92",,1250314
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,2817101,"(24,584.96)",,1251013REC
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,AMBULANCE SERVICES,ARRIVA TRANSPORT SOLUTIONS,2817109,"92,880.61",,1001595
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2817171,"100,165.84",,23366
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,2817275,"56,471.33",,LANUROLM1213
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,2817293,"56,471.33",,LANUROLM0114
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,2817307,"56,471.33",,LANUROLM0214
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,LANCASTER HOUSE CONS DIAGNOSTIC & SURGICAL,2817316,"25,459.95",,LANUSOLM11130114
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,NHS 111,GO TO DOC LTD,2817387,"21,666.67",,6137
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Drugs,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,2817453,"56,306.25",,SINV1306432
Department of Health,NHS Oldham CCG,31/03/2014,Hlthcre-Foundation Trsts,LEARNING DIFFICULTIES,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,2817516,"24,385.00",,M0011692
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,2817659,"654,273.95",,3110003136
