TRANSACTION ID,MERCHANT NAME,MCC,DATE,AMOUNT,MERCHANT DETAILS
361989252,MC DIGITAL DEVICES,5964,26/02/2015,2892,CATALOG MERCHANT
359384554,MARKS & SPENCER,5411,12/02/2015,2100,GROCERY STORES
356954192,BPP PROF EDUCATION,8220,30/01/2015,1650,COLLEGES/UNIV/JC/PROFESSION
359529715,TEKTRADERS LIMITED,5045,12/02/2015,977.94,COMPUTERS/PERIPHERALS/SOFTWARE
359094807,KEY TRAVEL,4722,11/02/2015,721.3,TRAVEL AGENCIES
357788270,FALCON SELF DRIVE LTD,7512,04/02/2015,640,OTHER CAR RENTALS
361631991,BAHRAIN SHERATON HOTEL,3503,23/02/2015,532.86,SHERATON
358072574,EBUYER (UK) LTD,5722,04/02/2015,524.94,HOUSEHOLD APPLIANCE STORES
361926486,EBUYER (UK) LTD,5722,24/02/2015,524.94,HOUSEHOLD APPLIANCE STORES
358265524,DON RUFFLES LTD,5943,06/02/2015,501.6,STATIONERY STORES
357930815,WWW.ICO.GOV.UK,9399,05/02/2015,500,GOV'T SERV - DEFAULT
