Summary offences and offences triable only summarily,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q3 2014/2015,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q3 2013/2014
Common assault,6,10,10,26,14,11,11,36
Assaulting a police officer,0,0,0,0,0,0,0,0
Section 4 and 4A Public Order Act 1986,2,0,0,2,0,1,0,1
Destroying or damaging property ,7,8,10,25,17,12,12,41
Unlawful taking of a motor vehicle,0,0,0,0,0,0,0,0
Interference with vehicles,0,0,0,0,0,0,0,0
Section 5 Public Order Act 1986,0,0,0,0,0,2,0,2
Obstructing a police officer,0,0,0,0,0,0,1,1
Drunk and Disorderly,0,0,0,0,0,0,0,0
Indecent exposure,,,,0,,,,0
Simple drunk,0,0,0,0,0,0,0,0
Violent behaviour in a police station ,0,0,0,0,0,0,0,0
Other  summary only offences,2,4,1,7,4,6,2,12
Total,17,22,21,60,35,32,26,93
