CPS outcomes by principal offence category ridgeshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,134,74.9%,45,25.1%
C Sexual Offences,6,50.0%,6,50.0%
D Burglary,23,79.3%,6,20.7%
E Robbery,6,85.7%,1,14.3%
F Theft And Handling,108,88.5%,14,11.5%
G Fraud And Forgery,21,100.0%,0,0.0%
H Criminal Damage,43,82.7%,9,17.3%
I Drugs Offences,75,97.4%,2,2.6%
J Public Order Offences,61,79.2%,16,20.8%
K All Other Offences (excluding Motoring),18,100.0%,0,0.0%
L Motoring Offences,166,90.7%,17,9.3%
Admin Finalisations,0,0.0%,12,100.0%
TOTAL,661,83.8%,128,16.2%
