1 Department Family,2 Entity,3 Date,4 Expense Type,5 Expense Area,6 Supplier,7 Transaction No, 8 Amount ,9 VAT Reg No
DEFRA,Animal Health,Jun-10,Vaccinations,Gross Running Cost Agencies,Genus Breeding Ltd.,21048831," 44,115.38 ",
DEFRA,Animal Health,Jun-10,LVI ERNIC Suspense,Gross Running Cost Agencies,Inland Revenue,270510," 83,183.37 ",
DEFRA,Animal Health,Jun-10,Compensation Payments for animal destruction,Gross Running Cost Agencies,"TURNBULL, J M & W~78/426/0025",190410," 36,095.00 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5805100735," 209,791.82 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5804100627," 181,290.27 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5805100736," 127,944.34 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5805100737," 108,153.54 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5805100733," 90,623.09 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5805100734," 78,785.67 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5804100641," 45,011.18 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5804100359," 43,552.93 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5804100358," 36,261.48 ",
DEFRA,Animal Health,Jun-10,Work package/WPO Implementation,Gross Running Cost Agencies,IBM United Kingdom Ltd,5804100360," 26,238.74 ",
DEFRA,Animal Health,Jun-10,FMD 2001 Reinstatement ,Gross Running Cost Agencies,Mouchel Ltd,90028043," 65,270.71 ",
DEFRA,Animal Health,Jun-10,Bonus - Permanent Staff,Gross Running Cost Agencies,Projectlink Motivation Ltd,105653744," 44,577.08 ",
