Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/04/2016,Water,"Finance, Commercial & Digital Transformation - Estates",UNITED UTILITIES WATER plc,96592,26.96,LSC Properties-Water,WA55 1WA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Stationery,"People, Strategy and Higher Education - Human Resources",BANNER BUSINESS SERVICES LTD,122055,5.40,PSHE Devolved Admin-Stationery,S9 1XU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Business Rates,"Finance, Commercial & Digital Transformation - Estates",MEDWAY COUNCIL,127454,33031.00,FCDT Devolved Admin-Business Rates,ME4 4TR,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Business Rates,"Finance, Commercial & Digital Transformation - Estates",MEDWAY COUNCIL,127454,37135.62,FCDT Devolved Admin-Business Rates,ME4 4TR,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/04/2016,Advertising,"Skills, Deregulation and Local Growth - Apprentiship Directorate",INFERNO LTD,128751,26218.00,EvaluationApps Reform Pilots-Advertising,WC2B 5AE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2016,Sponsorship Support,Business and Science - Advanced Manufacturing Services,Eunomia Research and Consulting Ltd,129664,24859.73,Sponsorship MSET-Sponsorship Support,BS1 4QS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2016,Hire of Interim Managers,"Finance, Commercial & Digital Transformation - Digital Directorate",BROOK STREET (UK) LTD,131546,763.38,FCDT Devolved Admin-Hire of Interim Managers,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2016,Clearing Account - Cost - Leasehold Improvements,"Finance, Commercial & Digital Transformation - Estates",ROLFE CONTRACTING LTD,132322,60247.93,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,AL3 7RG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/04/2016,Catering Services,Government Office for Science -  Government Office for Science,RSA ADELPHI ENTERPRISES LTD,132537,143.00,Other Devolved Admin-Catering Services,WC2N 6EZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Technical Advice / Services & Support,"Skills, Deregulation and Local Growth - Better Regulation Delivery Office",ITSA LTD,132564,279.00,RD: Competency-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Technical Advice / Services & Support,"Skills, Deregulation and Local Growth - Better Regulation Delivery Office",ITSA LTD,132564,350.00,RD: Competency-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Technical Advice / Services & Support,"Skills, Deregulation and Local Growth - Better Regulation Delivery Office",ITSA LTD,132564,595.20,RD: Competency-Technical Advice / Services & Support,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134232,-933.94,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134236,-933.95,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134238,-1067.38,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134240,-933.95,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134244,-933.94,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134261,-1120.74,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134267,-533.69,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134286,-667.11,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Learning and Dev - CS Skills,Business and Science - DISABLED - AVAILABLE FOR FUTURE USE,EML LEARNING LTD,134337,700.00,PSHE Devolved Admin-Learning and Dev - CS Skills,LS1 9PX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Other Professional Services,"Finance, Commercial & Digital Transformation - Digital Directorate",RAINMAKER SOLUTIONS LTD,134443,27650.00,FCDT Devolved Admin-Other Professional Services,MK18 1HB,VENDOR,,,
