Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/06/2014,Computer Hardware,Business Support Directorate,Computerworld Systems Ltd,1039965,9090.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2014,Computer Capital,Finance Directorate,Computerworld Systems Ltd,1038784,25630.80,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2014,Plant and Machinery,"People, Property and Services Directorate",Mitie Facilities Services Ltd,100-90729456,31942.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/06/2014,Plant and Machinery,"People, Property and Services Directorate",Total Security Protection Ltd,200215,37574.40,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,11674,-103.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/06/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,721879,75.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,722580,210.82,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,722584,245.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,722583,314.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/06/2014,Agency Staff,International Policy Directorate,Brook Street (UK) Ltd,30444465,370.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,721683,383.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,723436,407.81,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,722579,418.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,721682,425.09,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/06/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,722581,428.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2014,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,723435,428.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2014,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,722577,441.01,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,722585,448.36,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/06/2014,Agency Staff,Central Support,Acorn Recruitment Ltd,723437,455.71,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/06/2014,Agency Staff,"People, Property and Services Directorate",Acorn Recruitment Ltd,722578,477.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/06/2014,Agency Staff,"People, Property and Services Directorate",Hays Specialist Recruitment,1004389100,482.72,Not applicable,
