Figure 3.2 BBC spend on national / local radio programming 2009-10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
UK nations average,Scotland ,England,Wales,N Ireland,,,,,,,,,,,
3.85,7.82,2.82,11.21,11.12,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: BBC Annual Report and Accounts 2009/10. Note: The revenue data above have been compiled by the BBC to illustrate UK public services expenditure by service.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 3.3 Local commercial radio revenue, per head, 2009",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
UK local commercial,Scotland ,England,Wales,N Ireland,,,,,,,,,,,
6.68,7.84,6.6,5.49,7.62,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: Source: Ofcom, operators 2009",,,,,,,,,,,,,,,
Note: Chart shows net broadcasting revenues as based on returns received by Ofcom for the year 2009. The UK total shows the average for local commercial radio revenues across the four nations and excludes revenues for the UK-wide commercial stations.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 3.4 Availability of DAB stations, by area",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Scotland,Wales,Northern Ireland,Central Southern England,East England,East Midlands,London,North East,North West,South West,West England,West Midlands,Yorkshire,,,
29,17,6,18,14,13,41,19,27,9,16,34,31,,,
9,9,3,9,9,9,9,9,9,9,9,9,9,,,
13,13,13,12,12,12,12,12,12,12,12,12,12,,,
,,,,,,,,,,,,,,,
"Source: Ofcom, June 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.5 Average weekly listening hours and percentage reach of population,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scotland ,England,Wales,N Ireland,UK Total,,,,,,,,,,
Average weekly listening,21,21.9,22.7,22,21.9,,,,,,,,,,
Reach,87.30%,90.10%,90.50%,89.60%,89.90%,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: RAJAR, year to Q1 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 3.6 Share of listening hours, by nation– year to Q1 2010 (Audience share for BBC and commercial stations, local /national)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scotland,England,Wales,N Ireland,UK,,,,,,,,,,
BBC Network,36.50%,47.30%,49.40%,25.20%,46.40%,,,,,,,,,,
BBC Local/National,7.80%,8.50%,12.40%,23.10%,9.00%,,,,,,,,,,
National Commercial,12.50%,10.50%,11.30%,7.10%,10.60%,,,,,,,,,,
Local Commercial,40.60%,31.40%,25.30%,36.70%,31.60%,,,,,,,,,,
Other,2.50%,2.30%,1.60%,7.90%,2.40%,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: RAJAR, All adults (15+), year ended Q1 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 3.7 Weekly reach for National BBC services in Scotland, Wales, Northern Ireland, and local BBC radio in England – Q1 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBC Radio Scotland,BBC Radio Ulster / Foyle,BBC Local Radio in England,BBC Radio Wales / Cymru,BBC Radio Wales,BBC Radio Cymru,,,,,,,,,,
22.00%,36.20%,18.60%,20.80%,16.70%,5.90%,,,,,,,,,,
,,,,,,,,,,,,,,,
Source: Rajar Q1 2010,,,,,,,,,,,,,,,
"Note: Average weekly reach of adult population 15+, Q1 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.8 Ownership of DAB digital radios in the Nations,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Percentage of respondents (radio listeners),,,,,,,,,,,,,,,
,UK,Scotland,England,Wales,N Ireland,,Scot urban,Scot rural,,"Glasgow, Clyde & L'shire",Lothian & Forth,"Grampian, Tayside & Fife",Other Scotland,,
None,59,62,58,68,76,,62,62,,56,57,65,74,,
1,28,26,28,26,19,,26,25,,25,34,25,19,,
2,6,8,6,3,2,,7,8,,12,4,7,4,,
3+,4,3,5,1,1,,2,3,,4,1,2,2,,
Total owning DAB,38%,36%,39%,29%,22%,,36%,36%,,41%,40%,34%,24%,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
