Title:,"Number of properties at risk of flooding from rivers and sea, 2011",,,,,
Year:,2011,,,,,
Geography:,England and Wales,,,,,
Units:,number of properties,,,,,
Source:,Environment Agency (EA) National Flood Risk Assessment (NaFRA) 2011,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/inland-water/,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,
Nat. Statistic:,No,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,
Release Date:,Jan-12,,,,,
Notes:,Non residential includes commercial/business,,,,,
,Includes flooding from rivers and sea only. ,,,,,
,Numbers are rounded to nearest thousand,,,,,
,,,,,,
,Number of residential (only) properties included in NaFRA (2011):,,,,,
,,,,,,
,Significant (greater than 1 in 75 chance in any given year),"359,000",,,,
,Moderate (1 in 75 to 1 in 200 chance in any year),"644,000",,,,
,Low (less than 1 in 200 chance in any year),"1,047,000",,,,
,No result,"21,000",,,,
,Total,"2,070,000",,,,
,,,,,,
,,,,,,
,Number of residential & non-residential properties included in NaFRA (2011):,,,,,
,,,,,,
,Significant (greater than 1 in 75 chance in any given year),"546,000",,,,
,Moderate (1 in 75 to 1 in 200 chance in any year),"852,000",,,,
,Low (less than 1 in 200 chance in any year),"1,316,000",,,,
,No result,"27,000",,,,
,Total,"2,740,000",,,,
