No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion MELLON,Stage 2 - Total,Stage 3 - Exclusion HENDERSON,Stage 3 - Total,Stage 4 - Exclusion FRIEL,Stage 4 - Total,Stage 5 - Transfer KELLY,Stage 5 - Total,Stage 6 - Transfer LOGUE,Stage 6 - Total
1,CAMPBELL,KEVIN,SINN FEIN,Elected - Stage 3,1104.00,8.00,1112.00,37.00,1149.00,0.00,1149.00,0.00,1149.00,0.00,1149.00
2,CARR ,SEAN,SDLP,Elected - Stage 6,841.00,11.00,852.00,209.00,1061.00,18.00,1079.00,1.02,1080.02,7.48,1087.50
3,DONNELLY,GARY JOHN,INDEPENDENT,Elected - Stage 1,1154.00,0.00,1154.00,0.00,1154.00,0.00,1154.00,0.00,1154.00,0.00,1154.00
4,DOYLE,EMMET,SDLP,Excluded - Stage 6,676.00,13.00,689.00,254.00,943.00,18.00,961.00,1.36,962.36,5.78,968.14
5,FRIEL,LIAM,SINN FEIN,Excluded - Stage 3,654.00,10.00,664.00,1.00,665.00,-665.00,0.00,0.00,0.00,0.00,0.00
6,HENDERSON,DERMOTT SEAN,SDLP,Excluded - Stage 2,542.00,14.00,556.00,-556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,KELLY,COLLY,SINN FEIN,Elected - Stage 4,775.00,5.00,780.00,9.00,789.00,525.00,1314.00,-171.00,1143.00,0.00,1143.00
8,LOGUE,PATRICIA,SINN FEIN,Elected - Stage 5,997.00,9.00,1006.00,14.00,1020.00,77.00,1097.00,164.22,1261.22,-118.22,1143.00
9,MELLON,PATRICK,INDEPENDENT,Excluded - Stage 1,113.00,-113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Non transferable,,,,,,43.00,43.00,32.00,75.00,27.00,102.00,4.40,106.40,104.96,211.36
Totals,,,,,6856.00,,6856.00,,6856.00,,6856.00,,6856.00,,6856.00
