Grade,Bisexual Woman Headcount,Bisexual Woman Percentage,Gay Man Headcount,Gay Man Percentage,Gay Woman / Lesbian Headcount,Gay Woman / Lesbian Percentage,Heterosexual (Straight) Man Headcount,Heterosexual (Straight) Man Percentage,Heterosexual (Straight) Woman Headcount,Heterosexual (Straight) Woman Percentage,Other Headcount,Other Percentage,Declined to specify Headcount,Declined to specify Percentage,Prefer Not to Say Headcount,Prefer Not to Say Percentage,No Reply Headcount,No Reply Percentage,Grand Total
A1/AA,0,0.00%,1,5.26%,0,0.00%,5,26.32%,6,31.58%,0,0.00%,0,0.00%,0,0.00%,7,36.84%,19
A2/AO,2,0.88%,1,0.44%,1,0.44%,40,17.62%,109,48.02%,3,1.32%,1,0.44%,0,0.00%,70,30.84%,227
PA,0,0.00%,1,5.00%,0,0.00%,2,10.00%,10,50.00%,1,5.00%,0,0.00%,1,5.00%,5,25.00%,20
B1/EO/LT,0,0.00%,1,1.14%,0,0.00%,8,9.09%,51,57.95%,3,3.41%,0,0.00%,0,0.00%,25,28.41%,88
PO,0,0.00%,2,1.98%,0,0.00%,4,3.96%,43,42.57%,0,0.00%,2,1.98%,0,0.00%,50,49.50%,101
B2/HEO,0,0.00%,0,0.00%,0,0.00%,5,25.00%,11,55.00%,0,0.00%,0,0.00%,0,0.00%,4,20.00%,20
PBM,0,0.00%,0,0.00%,0,0.00%,1,8.33%,8,66.67%,0,0.00%,0,0.00%,0,0.00%,3,25.00%,12
B3/SEO,0,0.00%,0,0.00%,0,0.00%,2,16.67%,5,41.67%,0,0.00%,0,0.00%,0,0.00%,5,41.67%,12
AP,0,0.00%,0,0.00%,0,0.00%,5,10.20%,21,42.86%,0,0.00%,0,0.00%,3,6.12%,20,40.82%,49
CP/SCP/SLA,0,0.00%,1,0.74%,1,0.74%,29,21.32%,37,27.21%,1,0.74%,0,0.00%,0,0.00%,67,49.26%,136
CA/SP/SCA,0,0.00%,0,0.00%,0,0.00%,12,27.27%,9,20.45%,1,2.27%,1,2.27%,0,0.00%,21,47.73%,44
D/G7,0,0.00%,1,3.23%,0,0.00%,7,22.58%,11,35.48%,1,3.23%,0,0.00%,1,3.23%,10,32.26%,31
E/G6/CCP/SLM/SCS,0,0.00%,0,0.00%,1,3.57%,14,50.00%,3,10.71%,1,3.57%,0,0.00%,0,0.00%,9,32.14%,28
Grand Total,2,0.25%,8,1.02%,3,0.38%,134,17.03%,324,41.17%,11,1.40%,4,0.51%,5,0.64%,296,37.61%,787
