Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
DWP,HEALTH AND SAFETY EXECUTIVE,11/07/2016,EXP -G & S -OTHER- AALA CHARGES (ADV ACTIVITY LIC),FIELD OPERATIONS,ADVENTURE ACTIVITIES LICENCING SERVICE,1100111,26722.10,AALA INVOICE
DWP,HEALTH AND SAFETY EXECUTIVE,25/07/2016,EXP - SERVICE ELEMENT OF PFI FINANCE LEASES,BUSINESS SERVICES,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000067141,392529.54,UNITARY PAYMENT BOOTLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,25/07/2016,FE-INT PAYABLE TO PRIV SECTOR-FINANCE LEASES (PFI),BUSINESS SERVICES,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000067141,383992.88,PFI FINANCE CHARGES BOOTLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,25/07/2016,CL-IMPUTED FIN LEASE ELEMT OF ON-SOFP PFI CONTRACT,BUSINESS SERVICES,BOOTLE ACCOMMODATION PARTNERSHIP LTD,6000067141,84336.76,PFI FINANCE CHARGES
DWP,HEALTH AND SAFETY EXECUTIVE,01/07/2016,EXP - G & S - OTHER- DEPARTMENTAL SUBSCRIPTIONS,BUSINESS SERVICES,BRITISH STANDARDS INSTITUTION,6000065703,63000.00,SUBSCRIPTION FEES
DWP,HEALTH AND SAFETY EXECUTIVE,22/07/2016,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES,CARILLION SERVICES LTD,6000067072,3017.42,FACILITIES MANAGEMENT CORE SERVICES CARLISLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,22/07/2016,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES,CARILLION SERVICES LTD,6000067072,127.78,FACILITIES MANAGEMENT NON CORE SERVICES CARLISLE OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,22/07/2016,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES,CARILLION SERVICES LTD,6000067072,27510.62,FACILITIES MANAGEMENT CORE SERVICES LIVERPOOL OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,22/07/2016,EXP-G & S -FACILITIES MANAGEMENT NON CORE SERVICES,BUSINESS SERVICES,CARILLION SERVICES LTD,6000067072,1753.73,FACILITIES MANAGEMENT NON CORE SERVICES LIVERPOOL OFFICE
DWP,HEALTH AND SAFETY EXECUTIVE,22/07/2016,EXP - G & S - FACILITIES MANAGEMENT CORE SERVICES,BUSINESS SERVICES,CARILLION SERVICES LTD,6000067072,362.11,FACILITIES MANAGEMENT CORE SERVICES YORK OFFICE
