Prosecution Outcomes,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage,2014 - 15 Volume,2014 - 15 Percentage
"Prosecutions Dropped inc. discontinued, no evidence offered & withdrawn",14425,21.50%,16101,21.72%,18320,22.29%,16538,20.86%,14073,19.90%,14952,19.15%,17944,19.34%
of which - no evidence offered,7632,11.38%,8665,11.69%,9812,11.94%,9271,11.70%,8299,11.74%,9301,11.91%,11131,12.00%
Dismissed after full trial,2554,3.81%,2916,3.93%,2979,3.62%,2888,3.64%,2611,3.69%,3229,4.14%,4034,4.35%
Judge directed acquittal,77,0.11%,104,0.14%,102,0.12%,82,0.10%,54,0.08%,62,0.08%,61,0.07%
Jury acquittal,547,0.82%,658,0.89%,783,0.95%,774,0.98%,632,0.89%,623,0.80%,856,0.92%
All Other Unsuccessful Outcomes,1026,1.53%,987,1.33%,902,1.10%,848,1.07%,783,1.11%,929,1.19%,1283,1.38%
Unsuccessful Outcomes,18629,27.77%,20766,28.02%,23086,28.09%,21130,26.66%,18153,25.68%,19795,25.36%,24178,26.06%
Guilty plea,43586,64.96%,48027,64.80%,53460,65.05%,53543,67.55%,48401,68.46%,53620,68.68%,63132,68.05%
Conviction after trial,4781,7.13%,5204,7.02%,5532,6.73%,4444,5.61%,4045,5.72%,4542,5.82%,5333,5.75%
Proved in absence,98,0.15%,116,0.16%,109,0.13%,151,0.19%,103,0.15%,114,0.15%,136,0.15%
Convictions,48465,72.23%,53347,71.98%,59101,71.91%,58138,73.34%,52549,74.32%,58276,74.64%,68601,73.94%
Total Prosecutions,67094,100.00%,74113,100.00%,82187,100.00%,79268,100.00%,70702,100.00%,78071,100.00%,92779,100.00%
