,,,Indicator set,,Metadata,,Data Sets,,,,Services,,,,,,Name of the spatial data service,URL of the network service,"Themes (Annex I, II, III) related to the spatial data service"
Member State: ,,,Indicator,,Existence,Compliance,,,Extend,Compliance,MD Accesibility,,,DS Accesibility,Use,Compliance,,,
,,,,,,,,,,,,,,,,,,,
,,,,Indicator Name,MDi1,MDi2, ,,DSi1,DSi2,NSi1,, ,NSi2,NSi3,NSi4,,,
,,,,Indicator Value,71%,62%, ,,100%,0%,57%,,,18%,"984,884",100%,,,
,,,,Numerator,353,306, ,,"45,099,548",0,285,,,81,"49,244,198",50,,,
,,,,Denominator,496,496, ,,"45,099,548",446,496,,,446,50,50,,,
,,,,,,,,,,,,,,,,,,,
Spatial Data Sets,,,,,,,,,,,,,,,,,,,
RA - Responsible authority within the MS,Annex,Theme,Spatial Data Set,,Existence of MD,Compliance of the MD,Relevant area,Actual area,Extend,Compliance,MD access,View Services,Download services,View & Download services, ,,,,
,,,,,,,,,,,,,,,,,,,
,All Annexes,,,SubInd. Name,,, ,,,,NSi1.1,NSi2.1,NSi2.2,, , ,,,
,,,,SubInd. Value,,, ,,,,53%,43%,22%,,,,,,
,,,,Numerator,,,,,,,235,192,99,,,,,,
,,,,Denominator,,,,,,,446,446,446,,,,,,
,,,DSv_Num,Data Name,MDv1_DS,MDv2_DS,DSv1_RelArea,DSv1_ActArea,,DSv2,NSv1.1,NSv2.1,NSv2.2,NSv2.3,,,,,
,,,446,Data Value,303,256,"45,099,548","45,099,548",,0,235,192,99,81,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Annex I,,,SubInd. Name,MDi1.1,MDi2.1, ,,DSi1.1,DSi2.1,,,,, , ,,,
,,,,SubInd. Value,100%,100%,,,100%,0%,,,,,,,,,
,,,,Numerator,164,164,,,"17,842,434",0,,,,,,,,,
,,,,Denominator,164,164,,,"17,842,434",164,,,,,,,,,
,,,DSv_Num1,Data Name,MDv1.1,MDv2.1,DSv1.1_RelArea,DSv1.1_ActArea,,DSv2.1,NSv1.1.1,NSv2.1.1,NSv2.2.1,NSv2.3.1,,,,,
