Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Department of Health,NHS Blood and Transplant,24/10/2011,BUSINESS RATES,Estates & Logistics,LIVERPOOL CITY COUNCIL,1483822,25114,Business rates
Department of Health,NHS Blood and Transplant,07/10/2011,BUSINESS RATES,Estates & Logistics,WANDSWORTH BOROUGH COUNCIL BUSINESS RATES,1540156,28295.13,Business rates
Department of Health,NHS Blood and Transplant,24/10/2011,BUSINESS RATES,Estates & Logistics,SOUTH GLOUCESTERSHIRE COUNCIL PO BOX 101,1478060,51527,Business rates
Department of Health,NHS Blood and Transplant,28/10/2011,CARRIAGE INWARDS,Specialist Services,VH BIO LTD,1546532,66,Carriage charges on stores purchases
Department of Health,NHS Blood and Transplant,07/10/2011,BRISTOL EYE BANK CHARGE,Organ Donation & Transplantation,UNIVERSITY OF BRISTOL,1520971,42609.6,Charges for operating Eye Bank at Bristol
Department of Health,NHS Blood and Transplant,07/10/2011,VEHICLE FUEL & OILS,Blood Donation,ARVAL PHH BUSINESS SOLUTIONS,1540107,2054.75,Charges for vehicle fuel
Department of Health,NHS Blood and Transplant,24/10/2011,VEHICLE FUEL & OILS,Estates & Logistics,EMO OIL LTD,1541403,27258.88,Charges for vehicle fuel
Department of Health,NHS Blood and Transplant,14/10/2011,VEHICLE FUEL & OILS,Estates & Logistics,HARVEST ENERGY LTD,1538723,29764.78,Charges for vehicle fuel
Department of Health,NHS Blood and Transplant,07/10/2011,VEHICLE FUEL & OILS,Estates & Logistics,ARVAL PHH BUSINESS SOLUTIONS,1540107,35286.87,Charges for vehicle fuel
Department of Health,NHS Blood and Transplant,28/10/2011,WATER & SEWERAGE,Estates & Logistics,OXFORD RADCLIFFE HOSPITALS NHS TRUST,1540873,2098.76,Charges relating to water and sewerage costs
Department of Health,NHS Blood and Transplant,14/10/2011,DIRECT CONSUMABLES,Patient Services,ABBOTT LABORATORIES LTD,1541557,419,Consumable items used primarily during normal day to day operations
