Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,19-Jun-2013,200016131,Redacted Information,645.00
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200016013,Alpha Electrics & Building Serv Ltd,551.58
Barrow Borough Council,Cost of collection,Business rates collection,12-Jun-2013,200016054,Liberata Uk Ltd,"1,128.62"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Jun-2013,200015912,Benchmark Building Serv UK Ltd,"2,670.00"
Barrow Borough Council,Emlyn Hughes house,Maintenance contracts,12-Jun-2013,200015962,Integral UK Ltd,747.00
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200016013,Alpha Electrics & Building Serv Ltd,993.61
Barrow Borough Council,Barrow park,Gas,26-Jun-2013,200016216,Continental Landscapes Ltd,"1,148.17"
Barrow Borough Council,Coastal Defence Work West Shore Park,Professional fees,19-Jun-2013,200016077,Capita Symonds Ltd,"2,681.97"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,26-Jun-2013,200016236,Cumbria Probation Board,784.00
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Jun-2013,200016166,Plumbing Trade Supplies,"2,248.41"
Barrow Borough Council,HRA Estates,Professional fees,12-Jun-2013,200016012,ASB Action Ltd,589.06
Barrow Borough Council,Coast protection,CAPITA dbs fees,12-Jun-2013,200016045,Capita Symonds Ltd,"2,622.00"
Barrow Borough Council,Major works maintenance - HRA,Decant Costs,26-Jun-2013,200016183,M&P Gadsden Consulting Eng Ltd,"2,000.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Jun-2013,200016080,H Wicks (Lindal) Ltd,688.00
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,05-Jun-2013,200015952,Plumbing Trade Supplies,974.84
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,26-Jun-2013,200016234,Keith Wilson Elec Con Ltd,"3,953.18"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200016011,Garstang Timber & Building Supplies,634.22
Barrow Borough Council,Dock Museum,Building and construction works,19-Jun-2013,200016113,L&W Wilson Ltd,"4,290.54"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Jun-2013,200016233,Plumbing Trade Supplies,"5,718.45"
Barrow Borough Council,Crime reduction,Domestic Violence,05-Jun-2013,200015924,The Birchall Trust,"7,380.00"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,05-Jun-2013,200015954,Keith Wilson Elec Con Ltd,"4,081.39"
Barrow Borough Council,Town Hall,Professional fees,19-Jun-2013,200016105,Chris Bugler,"13,500.00"
Barrow Borough Council,Allotments,Grounds maintenance,19-Jun-2013,200016090,Morgans,"2,600.00"
Barrow Borough Council,Barrow town hall,Gas,26-Jun-2013,200016177,British Gas Business,977.91
Barrow Borough Council,Piel Island,Professional fees,05-Jun-2013,200015886,Art Gene,"2,760.00"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200016013,Alpha Electrics & Building Serv Ltd,873.85
Barrow Borough Council,Disabled Facilities Grant,Grants,12-Jun-2013,200016065,Ocean Construction UK Ltd,"2,918.78"
Barrow Borough Council,Piel Island,Incidental costs,05-Jun-2013,200015886,Art Gene,"1,316.09"
Barrow Borough Council,James Freel Close Business Units,Building and construction works,19-Jun-2013,200016120,The Neil Martin Group Ltd,"6,185.40"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,26-Jun-2013,200016216,Continental Landscapes Ltd,"-23,753.18"
Barrow Borough Council,The park leisure centre,Electricity,19-Jun-2013,200016136,NPower,"5,479.72"
Barrow Borough Council,Council tax benefits administration,Council tax benefits,12-Jun-2013,200016054,Liberata Uk Ltd,"3,618.17"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,19-Jun-2013,200016069,Edmundson Electrical Ltd,915.88
Barrow Borough Council,Allotments,Grounds maintenance,19-Jun-2013,200016143,"Steve Forrest Ltd, Groundworks & Landscaping",510.00
Barrow Borough Council,Dock museum,Buildings repairs and maintenance,19-Jun-2013,200016169,Bill Caulfield Electrical,541.65
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Jun-2013,200016068,AB Mitchell Developments,"1,660.00"
Barrow Borough Council,Street fittings,Street nameplates,26-Jun-2013,200016189,Vinci Construction UK Ltd,"1,280.61"
Barrow Borough Council,Dock Museum,Specialised work,19-Jun-2013,200016092,Chris Brammall,"1,648.80"
Barrow Borough Council,Tenant demand maintenance - HRA,Routine Maintenance,19-Jun-2013,200016134,Vinci Construction UK Ltd,"60,649.27"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Jun-2013,200016068,AB Mitchell Developments,870.00
Barrow Borough Council,The park leisure centre,Gas,26-Jun-2013,200016177,British Gas Business,"4,031.22"
Barrow Borough Council,Forum 28,Maintenance contracts,12-Jun-2013,200015962,Integral UK Ltd,840.00
Barrow Borough Council,Major works maintenance - HRA,Adaptations,26-Jun-2013,200016197,Impey UK Ltd,525.53
Barrow Borough Council,Personnel,Subscriptions,19-Jun-2013,200016125,Retox Digital Ltd,"1,000.00"
Barrow Borough Council,Crematorium,Gas,26-Jun-2013,200016177,British Gas Business,"3,026.11"
Barrow Borough Council,Barrow amateurs,Admissions,05-Jun-2013,200015906,Barrow Amateur Operatic & Dramatic Society,"4,688.50"
Barrow Borough Council,Phoenix Business Centre,Professional fees,05-Jun-2013,200015920,FC Business Services Ltd,"2,054.36"
Barrow Borough Council,Legal,Solicitors fees,05-Jun-2013,200015957,Brown Barron Solicitors,812.00
Barrow Borough Council,Barrow park,Grounds maintenance,19-Jun-2013,200016165,Play Safe,"2,194.50"
Barrow Borough Council,Barrow town hall,Building cleaning,12-Jun-2013,200016055,Bulloughs Cleaning Serv Ltd,"3,230.47"
Barrow Borough Council,Housing Benefits Admin,Benefits council tenants,12-Jun-2013,200016054,Liberata Uk Ltd,"17,047.06"
Barrow Borough Council,Licensing,Professional fees,26-Jun-2013,200016280,MJ Fielding,970.96
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200015964,AB Mitchell Developments,"1,414.00"
Barrow Borough Council,Playground,Grounds maintenance,26-Jun-2013,200016216,Continental Landscapes Ltd,681.37
Barrow Borough Council,Disabled Facilities Grant,Grants,12-Jun-2013,200015989,Dolphin Stairlifts Cumbria,"4,000.00"
Barrow Borough Council,Tenant demand maintenance - HRA,Central overheads,19-Jun-2013,200016134,Vinci Construction UK Ltd,"38,931.48"
Barrow Borough Council,Forum 28,Buildings repairs and maintenance,12-Jun-2013,200015970,Ward Contracting Ltd,503.73
Barrow Borough Council,Forum 28,Equipment maintenance,26-Jun-2013,200016192,Hobart UK,601.84
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Jun-2013,200016149,Howdens Joinery Ltd,967.93
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,12-Jun-2013,200016013,Alpha Electrics & Building Serv Ltd,943.82
Barrow Borough Council,Council tax benefits administration,Council tax benefits,12-Jun-2013,200016054,Liberata Uk Ltd,"64,191.38"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Jun-2013,200016166,Plumbing Trade Supplies,682.34
Barrow Borough Council,Cavendish house - HRA,Property rents,05-Jun-2013,200015888,Marcus King & Co,"10,750.00"
Barrow Borough Council,Group Repair Marsh Street,Building and construction works,26-Jun-2013,200016265,Thomas Armstrong Construction Ltd,"14,181.02"
Barrow Borough Council,Off street car parking,Equipment maintenance,19-Jun-2013,200016155,Metric Group,"1,818.13"
Barrow Borough Council,Community safety,Equipment maintenance,12-Jun-2013,200016001,BT Plc,"1,951.72"
Barrow Borough Council,Estates management,Electricity,12-Jun-2013,200015987,Advantis Credit Ltd,"1,278.77"
Barrow Borough Council,Events & festivals management,Advertising,19-Jun-2013,200016127,The Northern School of Asian & Oriental Cultural Cooking Roadshow,632.00
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,19-Jun-2013,200016167,Keith Wilson Elec Con Ltd,998.91
Barrow Borough Council,Woodbridge Haven Industrial Estate,Electricity,26-Jun-2013,200016191,NPower,888.47
Barrow Borough Council,Community safety,Equipment maintenance,12-Jun-2013,200016001,BT Plc,"6,077.37"
Barrow Borough Council,The park leisure centre,Maintenance contracts,12-Jun-2013,200015962,Integral UK Ltd,840.00
Barrow Borough Council,Public conveniences,Building cleaning,12-Jun-2013,200016055,Bulloughs Cleaning Serv Ltd,"2,010.81"
Barrow Borough Council,Coastal Defence Work West Shore Park,Professional fees,12-Jun-2013,200016045,Capita Symonds Ltd,"3,058.78"
Barrow Borough Council,Disabled Facilities Grant,Grants,12-Jun-2013,200016065,Ocean Construction UK Ltd,"3,600.00"
Barrow Borough Council,Street cleansing,Street cleansing,05-Jun-2013,200015907,Biffa Waste Services Ltd,"77,226.65"
Barrow Borough Council,Parks and open spaces,Grounds maintenance,26-Jun-2013,200016216,Continental Landscapes Ltd,"23,366.91"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,19-Jun-2013,200016069,Edmundson Electrical Ltd,615.21
Barrow Borough Council,HRA Estates,Cleaning - other,12-Jun-2013,200016055,Bulloughs Cleaning Serv Ltd,"3,078.08"
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,12-Jun-2013,200015985,PSS Consulting,"1,595.50"
Barrow Borough Council,Barrow amateurs,Professional fees,26-Jun-2013,200016266,Linney PA Systems,906.88
Barrow Borough Council,Community involvement - HRA,Tenants compact,26-Jun-2013,200016198,Assoc of Retained Council Housing Ltd,"2,000.00"
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,12-Jun-2013,200016054,Liberata Uk Ltd,"2,949.86"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,05-Jun-2013,200015954,Keith Wilson Elec Con Ltd,792.75
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,26-Jun-2013,200016252,PSS Consulting,"1,260.25"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Jun-2013,200015953,Heritage Construction,"8,000.00"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,19-Jun-2013,200016167,Keith Wilson Elec Con Ltd,"7,948.64"
